Year,Value
2000,4.62
2001,4.54
2002,4.67
2003,4.63
2004,4.52
2005,4.54
2006,4.46
2007,4.42
2008,4.29
2009,4.18
2010,4.05
2011,4.06
2012,4.02
2013,4.04
2014,3.95
2015,3.94
2016,3.88
2017,3.85
2018,3.78
2019,3.69
2020,3.56
2021,3.49
2022,3.59
