Year,Value,Units
2000,0.57,Share
2001,0.571,Share
2002,0.561,Share
2003,0.555,Share
2004,0.55,Share
2005,0.542,Share
2006,0.541,Share
2007,0.544,Share
2008,0.545,Share
2009,0.536,Share
2010,0.527,Share
2011,0.527,Share
2012,0.527,Share
2013,0.523,Share
2014,0.525,Share
2015,0.53,Share
2016,0.53,Share
2017,0.532,Share
2018,0.53,Share
2019,0.532,Share
2020,0.544,Share
2021,0.532,Share
2022,0.522,Share
