Year,Value,Units
2000,4.9,Share
2001,-0.2,Share
2002,6.3,Share
2003,1.5,Share
2004,9.2,Share
2005,6.2,Share
2006,24.3,Share
2007,14.0,Share
2008,-13.3,Share
2009,19.6,Share
2010,6.4,Share
2011,3.7,Share
2012,6.2,Share
2013,7.4,Share
2014,6.3,Share
2015,-3.9,Share
2016,0.7,Share
2017,16.7,Share
2018,8.3,Share
2019,0.5,Share
2020,0.5,Share
2021,20.0,Share
2022,5.4,Share
2023,2.8,Share
