Year,SEX,AGE,Value
2000,,,11.3
2001,,,11.7
2002,,,12.1
2003,,,12.5
2004,,,12.7
2005,,,12.6
2006,,,12.3
2007,,,12.5
2008,,,13.2
2009,,,14.3
2010,,,15.1
2011,,,15.0
2012,,,15.0
2013,,,14.8
2014,,,14.8
2015,,,13.5
2016,,,12.7
2017,,,12.3
2018,,,11.8
2019,,,10.5
2020,,,11.5
2021,,,11.6
2022,,,11.5
2000,M,,9.9
2001,M,,10.4
2002,M,,10.9
2003,M,,11.2
2004,M,,11.5
2005,M,,11.1
2006,M,,11.0
2007,M,,11.1
2008,M,,12.0
2009,M,,13.0
2010,M,,14.0
2011,M,,13.6
2012,M,,13.6
2013,M,,13.2
2014,M,,13.4
2015,M,,12.2
2016,M,,11.3
2017,M,,10.9
2018,M,,10.6
2019,M,,9.4
2020,M,,10.3
2021,M,,10.5
2022,M,,10.5
2000,F,,12.6
2001,F,,12.9
2002,F,,13.3
2003,F,,13.7
2004,F,,13.9
2005,F,,14.1
2006,F,,13.6
2007,F,,13.8
2008,F,,14.4
2009,F,,15.6
2010,F,,16.3
2011,F,,16.3
2012,F,,16.3
2013,F,,16.3
2014,F,,16.1
2015,F,,14.8
2016,F,,14.0
2017,F,,13.6
2018,F,,12.9
2019,F,,11.5
2020,F,,12.6
2021,F,,12.6
2022,F,,12.5
2000,,Y0T17,16.2
2001,,Y0T17,16.3
2002,,Y0T17,16.7
2003,,Y0T17,17.6
2004,,Y0T17,17.8
2005,,Y0T17,17.6
2006,,Y0T17,17.4
2007,,Y0T17,18.0
2008,,Y0T17,19.0
2009,,Y0T17,20.7
2010,,Y0T17,22.0
2011,,Y0T17,21.9
2012,,Y0T17,21.8
2013,,Y0T17,21.5
2014,,Y0T17,21.1
2015,,Y0T17,19.7
2016,,Y0T17,18.0
2017,,Y0T17,17.4
2018,,Y0T17,16.2
2019,,Y0T17,14.4
2020,,Y0T17,16.0
2021,,Y0T17,15.3
2022,,Y0T17,15.0
2000,,Y18T64,9.6
2001,,Y18T64,10.1
2002,,Y18T64,10.6
2003,,Y18T64,10.8
2004,,Y18T64,11.3
2005,,Y18T64,11.1
2006,,Y18T64,10.8
2007,,Y18T64,10.9
2008,,Y18T64,11.7
2009,,Y18T64,12.9
2010,,Y18T64,13.8
2011,,Y18T64,13.7
2012,,Y18T64,13.7
2013,,Y18T64,13.3
2014,,Y18T64,13.5
2015,,Y18T64,12.4
2016,,Y18T64,11.6
2017,,Y18T64,11.1
2018,,Y18T64,10.7
2019,,Y18T64,9.4
2020,,Y18T64,10.5
2021,,Y18T64,10.5
2022,,Y18T64,10.6
2000,,Y_GE65,9.9
2001,,Y_GE65,10.1
2002,,Y_GE65,10.4
2003,,Y_GE65,10.2
2004,,Y_GE65,9.8
2005,,Y_GE65,10.1
2006,,Y_GE65,9.4
2007,,Y_GE65,9.7
2008,,Y_GE65,9.7
2009,,Y_GE65,8.9
2010,,Y_GE65,8.9
2011,,Y_GE65,8.7
2012,,Y_GE65,9.1
2013,,Y_GE65,10.2
2014,,Y_GE65,10.0
2015,,Y_GE65,8.8
2016,,Y_GE65,9.3
2017,,Y_GE65,9.6
2018,,Y_GE65,9.7
2019,,Y_GE65,8.9
2020,,Y_GE65,8.9
2021,,Y_GE65,10.3
2022,,Y_GE65,10.2
