Year,SEX,AGE,Value
2009,M,Y_GE16,736
2010,M,Y_GE16,761
2011,M,Y_GE16,787
2012,M,Y_GE16,792
2013,M,Y_GE16,775
2014,M,Y_GE16,825
2015,M,Y_GE16,819
2016,M,Y_GE16,795
2017,M,Y_GE16,878
2018,M,Y_GE16,893
2019,M,Y_GE16,884
2020,M,Y_GE16,961
2021,M,Y_GE16,986
2022,M,Y_GE16,1077
2023,M,Y_GE16,1063
2009,M,Y16T19,327
2010,M,Y16T19,313
2011,M,Y16T19,359
2012,M,Y16T19,382
2013,M,Y16T19,339
2014,M,Y16T19,409
2015,M,Y16T19,332
2016,M,Y16T19,337
2017,M,Y16T19,453
2018,M,Y16T19,462
2019,M,Y16T19,476
2020,M,Y16T19,511
2021,M,Y16T19,539
2022,M,Y16T19,677
2023,M,Y16T19,682
2009,M,Y_GE20,742
2010,M,Y_GE20,766
2011,M,Y_GE20,788
2012,M,Y_GE20,795
2013,M,Y_GE20,777
2014,M,Y_GE20,832
2015,M,Y_GE20,823
2016,M,Y_GE20,799
2017,M,Y_GE20,882
2018,M,Y_GE20,903
2019,M,Y_GE20,891
2020,M,Y_GE20,970
2021,M,Y_GE20,991
2022,M,Y_GE20,1087
2023,M,Y_GE20,1070
2009,M,Y20T24,426
2010,M,Y20T24,410
2011,M,Y20T24,441
2012,M,Y20T24,448
2013,M,Y20T24,394
2014,M,Y20T24,397
2015,M,Y20T24,531
2016,M,Y20T24,472
2017,M,Y20T24,489
2018,M,Y20T24,484
2019,M,Y20T24,605
2020,M,Y20T24,583
2021,M,Y20T24,598
2022,M,Y20T24,653
2023,M,Y20T24,731
2009,M,Y_GE25,766
2010,M,Y_GE25,786
2011,M,Y_GE25,803
2012,M,Y_GE25,814
2013,M,Y_GE25,803
2014,M,Y_GE25,865
2015,M,Y_GE25,847
2016,M,Y_GE25,823
2017,M,Y_GE25,901
2018,M,Y_GE25,937
2019,M,Y_GE25,918
2020,M,Y_GE25,1002
2021,M,Y_GE25,1011
2022,M,Y_GE25,1123
2023,M,Y_GE25,1111
2009,M,Y25T34,627
2010,M,Y25T34,586
2011,M,Y25T34,677
2012,M,Y25T34,644
2013,M,Y25T34,626
2014,M,Y25T34,615
2015,M,Y25T34,694
2016,M,Y25T34,619
2017,M,Y25T34,717
2018,M,Y25T34,809
2019,M,Y25T34,747
2020,M,Y25T34,811
2021,M,Y25T34,886
2022,M,Y25T34,935
2023,M,Y25T34,905
2009,M,Y35T44,726
2010,M,Y35T44,795
2011,M,Y35T44,827
2012,M,Y35T44,831
2013,M,Y35T44,816
2014,M,Y35T44,902
2015,M,Y35T44,871
