Year,SEX,AGE,race_ethnicity,Value
2007,,,,1.5
2008,,,,1.3
2009,,,,1.1
2010,,,,1.1
2011,,,,0.9
2012,,,,0.9
2013,,,,1.0
2014,,,,0.9
2015,,,,1.1
2016,,,,1.0
2017,,,,1.1
2018,,,,1.0
2019,,,,1.0
2020,,,,0.7
2021,,,,0.6
2022,,,,0.6
2007,F,,,1.1
2008,F,,,1.0
2009,F,,,0.8
2010,F,,,0.8
2011,F,,,0.7
2012,F,,,0.7
2013,F,,,0.7
2014,F,,,0.6
2015,F,,,0.8
2016,F,,,0.8
2017,F,,,0.8
2018,F,,,0.8
2019,F,,,0.7
2020,F,,,0.5
2021,F,,,0.5
2022,F,,,0.5
2007,M,,,1.9
2008,M,,,1.7
2009,M,,,1.4
2010,M,,,1.4
2011,M,,,1.2
2012,M,,,1.2
2013,M,,,1.2
2014,M,,,1.1
2015,M,,,1.3
2016,M,,,1.2
2017,M,,,1.3
2018,M,,,1.3
2019,M,,,1.3
2020,M,,,0.8
2021,M,,,0.7
2022,M,,,0.8
2007,,Y0T19,,0.1
2008,,Y0T19,,0.1
2009,,Y0T19,,0.1
2010,,Y0T19,,0.1
2011,,Y0T19,,0.0
2012,,Y0T19,,0.0
2013,,Y0T19,,0.0
2014,,Y0T19,,0.0
2015,,Y0T19,,0.0
2016,,Y0T19,,0.0
2017,,Y0T19,,0.0
2018,,Y0T19,,0.0
2019,,Y0T19,,0.0
2020,,Y0T19,,0.0
2021,,Y0T19,,0.0
2022,,Y0T19,,0.0
2007,,Y20T29,,2.0
2008,,Y20T29,,1.8
2009,,Y20T29,,1.2
2010,,Y20T29,,1.1
2011,,Y20T29,,1.0
2012,,Y20T29,,0.9
2013,,Y20T29,,0.8
2014,,Y20T29,,0.6
2015,,Y20T29,,0.8
2016,,Y20T29,,0.6
2017,,Y20T29,,0.6
2018,,Y20T29,,0.6
2019,,Y20T29,,0.5
2020,,Y20T29,,0.4
2021,,Y20T29,,0.4
2022,,Y20T29,,0.4
