Year,SEX,AGE,race_ethnicity,Value
2007,,Y30T39,,3.0
2008,,Y30T39,,2.7
2009,,Y30T39,,2.3
2010,,Y30T39,,2.3
2011,,Y30T39,,2.0
2012,,Y30T39,,2.2
2013,,Y30T39,,2.4
2014,,Y30T39,,2.2
2015,,Y30T39,,2.6
2016,,Y30T39,,2.4
2017,,Y30T39,,2.3
2018,,Y30T39,,2.0
2019,,Y30T39,,1.8
2020,,Y30T39,,1.0
2021,,Y30T39,,0.9
2022,,Y30T39,,0.7
2007,,Y40T49,,2.7
2008,,Y40T49,,2.6
2009,,Y40T49,,2.2
2010,,Y40T49,,2.0
2011,,Y40T49,,1.9
2012,,Y40T49,,1.9
2013,,Y40T49,,2.1
2014,,Y40T49,,2.0
2015,,Y40T49,,2.4
2016,,Y40T49,,2.2
2017,,Y40T49,,2.5
2018,,Y40T49,,2.6
2019,,Y40T49,,2.7
2020,,Y40T49,,1.7
2021,,Y40T49,,1.6
2022,,Y40T49,,1.4
2007,,Y50T59,,1.8
2008,,Y50T59,,1.5
2009,,Y50T59,,1.4
2010,,Y50T59,,1.5
2011,,Y50T59,,1.1
2012,,Y50T59,,1.1
2013,,Y50T59,,1.1
2014,,Y50T59,,1.2
2015,,Y50T59,,1.4
2016,,Y50T59,,1.5
2017,,Y50T59,,1.6
2018,,Y50T59,,1.6
2019,,Y50T59,,1.6
2020,,Y50T59,,1.2
2021,,Y50T59,,1.0
2022,,Y50T59,,1.2
2007,,Y_GE60,,0.8
2008,,Y_GE60,,0.7
2009,,Y_GE60,,0.7
2010,,Y_GE60,,0.7
2011,,Y_GE60,,0.5
2012,,Y_GE60,,0.4
2013,,Y_GE60,,0.4
2014,,Y_GE60,,0.4
2015,,Y_GE60,,0.5
2016,,Y_GE60,,0.5
2017,,Y_GE60,,0.6
2018,,Y_GE60,,0.6
2019,,Y_GE60,,0.6
2020,,Y_GE60,,0.5
2021,,Y_GE60,,0.5
2022,,Y_GE60,,0.6
2007,,,white_nh,1.0
2008,,,white_nh,0.9
2009,,,white_nh,0.8
2010,,,white_nh,0.8
2011,,,white_nh,0.8
2012,,,white_nh,0.8
2013,,,white_nh,0.9
2014,,,white_nh,0.9
2015,,,white_nh,1.1
2016,,,white_nh,1.0
2017,,,white_nh,1.1
2018,,,,1.0
2019,,,,1.0
2020,,,,0.7
2021,,,,0.6
2022,,,,0.6
2007,,,black_nh,2.3
2008,,,black_nh,2.2
2009,,,black_nh,1.7
2010,,,black_nh,1.7
2011,,,black_nh,1.4
2012,,,black_nh,1.1
2013,,,black_nh,0.9
2014,,,black_nh,0.8
2015,,,black_nh,1.0
2016,,,black_nh,0.9
2017,,,black_nh,1.0
2018,,,black_nh,1.0
2019,,,black_nh,0.9
2020,,,black_nh,0.7
2021,,,black_nh,0.9
2022,,,black_nh,1.0
2007,,,asian_pi_nh,0.9
2008,,,asian_pi_nh,0.8
2009,,,asian_pi_nh,0.7
2010,,,asian_pi_nh,0.6
2011,,,asian_pi_nh,0.4
2012,,,asian_pi_nh,0.4
2013,,,asian_pi_nh,0.3
2014,,,asian_pi_nh,0.3
2015,,,asian_pi_nh,0.4
2016,,,asian_pi_nh,0.3
2017,,,asian_pi_nh,0.3
2018,,,asian_pi_nh,0.3
2019,,,asian_pi_nh,0.3
2020,,,asian_pi_nh,0.2
2021,,,asian_pi_nh,0.2
2022,,,asian_pi_nh,0.3
2007,,,aian_nh,1.4
2008,,,aian_nh,1.8
2009,,,aian_nh,1.0
2010,,,aian_nh,1.1
2011,,,aian_nh,0.5
2012,,,aian_nh,0.7
2013,,,aian_nh,0.7
2014,,,aian_nh,0.8
2015,,,aian_nh,0.7
2016,,,aian_nh,0.5
2017,,,aian_nh,0.7
2018,,,aian_nh,0.9
2019,,,aian_nh,0.6
2020,,,aian_nh,0.4
2021,,,aian_nh,0.4
2022,,,aian_nh,0.4
2007,,,hispanic,1.0
2008,,,hispanic,0.8
2009,,,hispanic,0.7
2010,,,hispanic,0.6
2011,,,hispanic,0.4
2012,,,hispanic,0.4
2013,,,hispanic,0.4
2014,,,hispanic,0.3
2015,,,hispanic,0.3
2016,,,hispanic,0.3
2017,,,hispanic,0.3
2018,,,hispanic,0.4
2019,,,hispanic,0.4
2020,,,hispanic,0.3
2021,,,hispanic,0.4
2022,,,hispanic,0.4
