Year,Value,Units
2000,0.0,Share
2001,0.06,Share
2002,0.0,Share
2003,0.0,Share
2004,0.07,Share
2005,0.24,Share
2006,0.0,Share
2007,0.0,Share
2008,0.03,Share
2009,0.0,Share
2010,0.0,Share
2011,0.0,Share
2012,0.06,Share
2013,0.0,Share
2014,0.0,Share
2015,0.0,Share
2016,0.0,Share
2017,0.13,Share
2018,0.06,Share
2019,0.0,Share
2020,0.0,Share
2021,0.06,Share
2022,0.06,Share
2023,0.0,Share
