Year,Value,Units
2000,0.229,Share
2001,0.25,Share
2002,0.254,Share
2003,0.245,Share
2004,0.249,Share
2005,0.24,Share
2006,0.249,Share
2007,0.256,Share
2008,0.261,Share
2009,0.251,Share
2010,0.246,Share
2011,0.234,Share
2012,0.233,Share
2013,0.236,Share
2014,0.239,Share
2015,0.243,Share
2016,0.246,Share
2017,0.248,Share
2018,0.248,Share
