Year,Age,Value
2000,15 to 19,47.7
2001,15 to 19,45.0
2002,15 to 19,42.6
2003,15 to 19,41.1
2004,15 to 19,40.5
2005,15 to 19,39.7
2006,15 to 19,41.1
2007,15 to 19,41.5
2008,15 to 19,40.2
2009,15 to 19,37.9
2010,15 to 19,34.2
2011,15 to 19,31.3
2012,15 to 19,29.4
2013,15 to 19,26.5
2014,15 to 19,24.2
2015,15 to 19,22.3
2016,15 to 19,20.3
2017,15 to 19,18.8
2018,15 to 19,17.4
2019,15 to 19,16.7
2020,15 to 19,15.0
2021,15 to 19,13.9
2022,15 to 19,13.6
2000,10 to 14,0.9
2001,10 to 14,0.8
2002,10 to 14,0.7
2003,10 to 14,0.6
2004,10 to 14,0.6
2005,10 to 14,0.6
2006,10 to 14,0.6
2007,10 to 14,0.6
2008,10 to 14,0.6
2009,10 to 14,0.5
2010,10 to 14,0.4
2011,10 to 14,0.4
2012,10 to 14,0.4
2013,10 to 14,0.3
2014,10 to 14,0.3
2015,10 to 14,0.2
2016,10 to 14,0.2
2017,10 to 14,0.2
2018,10 to 14,0.2
2019,10 to 14,0.2
2020,10 to 14,0.2
2021,10 to 14,0.2
2022,10 to 14,0.2
