Year,status,Value
2010,,3.603699044
2011,,3.675432312
2012,,3.774182894
2013,,3.878946963
2014,,3.974037821
2015,,4.084931928
2016,,4.214091791
2010,healthworker_dist_metro,3.9119861
2011,healthworker_dist_metro,3.985849268
2012,healthworker_dist_metro,4.088516058
2013,healthworker_dist_metro,4.19816281
2014,healthworker_dist_metro,4.296919716
2015,healthworker_dist_metro,4.412553466
2016,healthworker_dist_metro,4.54925668
2010,healthworker_dist_nonmetro,1.847955452
2011,healthworker_dist_nonmetro,1.889607143
2012,healthworker_dist_nonmetro,1.946625119
2013,healthworker_dist_nonmetro,2.00602751
2014,healthworker_dist_nonmetro,2.058692532
2015,healthworker_dist_nonmetro,2.122013423
2016,healthworker_dist_nonmetro,2.190640186
