Year,Value
2000,7.52
2001,7.25
2002,7.23
2003,7.05
2004,6.95
2005,6.72
2006,6.48
2007,6.46
2008,6.33
2009,6.18
2010,6.26
2011,6.12
2012,5.83
2013,5.89
2014,5.82
2015,5.61
2016,5.52
2017,5.42
2018,5.45
