Year,Units,Value
2006,"Gross Disbursements, USD Current",40632000
2007,"Gross Disbursements, USD Current",84607780
2008,"Gross Disbursements, USD Current",125229261
2009,"Gross Disbursements, USD Current",209836229
2010,"Gross Disbursements, USD Current",765271090
2011,"Gross Disbursements, USD Current",776344320
2012,"Gross Disbursements, USD Current",905759950
2013,"Gross Disbursements, USD Current",937600090
2014,"Gross Disbursements, USD Current",1359653660
2015,"Gross Disbursements, USD Current",1136468064
2016,"Gross Disbursements, USD Current",1566679706
2017,"Gross Disbursements, USD Current",1079542140
2018,"Gross Disbursements, USD Current",620207410
2019,"Gross Disbursements, USD Current",943595266
2020,"Gross Disbursements, USD Current",560447361
2021,"Gross Disbursements, USD Current",851106660
2022,"Gross Disbursements, USD Current",500118799
