Year,Sex,Value
2000,,46.0
2001,,49.0
2002,,50.8
2003,,47.5
2004,,50.3
2005,,45.8
2006,,46.6
2007,,44.9
2008,,46.4
2009,,44.1
2010,,51.1
2011,,49.0
2012,,44.2
2013,,45.6
2014,,46.0
2015,,46.5
2016,,43.9
2017,,44.9
2018,,42.6
2019,,40.9
2020,,40.2
2021,,45.6
2022,,41.5
2000,Male,43.9
2001,Male,48.4
2002,Male,46.9
2003,Male,44.9
2004,Male,47.2
2005,Male,42.0
2006,Male,44.8
2007,Male,43.6
2008,Male,41.4
2009,Male,39.9
2010,Male,47.8
2011,Male,41.8
2012,Male,42.3
2013,Male,44.4
2014,Male,43.0
2015,Male,45.4
2016,Male,45.7
2017,Male,41.8
2018,Male,45.2
2019,Male,35.7
2020,Male,37.1
2021,Male,42.4
2022,Male,37.5
2000,Female,48.8
2001,Female,49.7
2002,Female,54.9
2003,Female,50.4
2004,Female,53.8
2005,Female,51.0
2006,Female,48.9
2007,Female,46.6
2008,Female,51.9
2009,Female,48.3
2010,Female,54.6
2011,Female,58.5
2012,Female,47.3
2013,Female,47.1
2014,Female,49.7
2015,Female,47.5
2016,Female,42.2
2017,Female,47.7
2018,Female,40.5
2019,Female,45.9
2020,Female,43.1
2021,Female,49.1
2022,Female,45.3
