Year,Units,Value
2000,Percent,2.8
2001,Percent,1.4
2002,Percent,3.9
2003,Percent,3.3
2004,Percent,3.0
2005,Percent,2.1
2006,Percent,1.4
2007,Percent,1.3
2008,Percent,0.5
2009,Percent,2.2
2010,Percent,4.4
2011,Percent,0.4
2012,Percent,1.3
2013,Percent,0.9
2014,Percent,1.0
2015,Percent,1.2
2016,Percent,0.1
2017,Percent,1.2
2018,Percent,1.6
2019,Percent,1.6
2020,Percent,4.0
2021,Percent,2.8
2022,Percent,-2.4
2023,Percent,0.8
