Year,Value
2000,336.41
2001,333.4
2002,334.03
2003,333.84
2004,329.09
2005,334.16
2006,341.61
2007,358.41
2008,382.76
2009,414.18
2010,428.83
2011,448.89
2012,496.79
2013,512.03
2014,534.99
2015,569.37
2016,618.43
2017,648.62
2018,680.58
2019,720.54
2020,789.98
2021,871.09
2022,927.43
2023,996.48
