Year,Value
2000,15.6
2001,15.3
2002,14.4
2003,14.2
2004,13.7
2005,14.3
2006,13.0
2007,13.2
2008,12.1
2009,11.0
2010,10.9
2011,11.1
2012,10.6
2013,10.3
2014,9.9
2015,9.9
2016,9.0
2017,9.6
2018,9.8
2019,9.1
2020,9.6
2021,9.6
2022,8.9
2023,9.9
