Year,Units,SEX,Value
2000,Rate,,5.5
2001,Rate,,5.6
2002,Rate,,5.6
2003,Rate,,5.7
2004,Rate,,5.5
2005,Rate,,5.6
2006,Rate,,5.8
2007,Rate,,5.7
2008,Rate,,5.4
2009,Rate,,5.0
2010,Rate,,4.8
2011,Rate,,4.7
2012,Rate,,4.7
2013,Rate,,4.5
2014,Rate,,4.4
2015,Rate,,4.9
2016,Rate,,5.4
2017,Rate,,5.3
2018,Rate,,5.0
2019,Rate,,5.1
2020,Rate,,6.5
2021,Rate,,6.8
2022,Rate,,6.3
2000,Total,,15586.0
2001,Total,,19033.0
2002,Total,,16229.0
2003,Total,,16528.0
2004,Total,,16148.0
2005,Total,,16740.0
2006,Total,,17309.0
2007,Total,,17128.0
2008,Total,,16465.0
2009,Total,,15399.0
2010,Total,,14722.0
2011,Total,,14661.0
2012,Total,,14856.0
2013,Total,,14319.0
2014,Total,,14164.0
2015,Total,,15883.0
2016,Total,,17413.0
2017,Total,,17294.0
2018,Total,,16374.0
2019,Total,,16669.0
2020,Total,,21570.0
2021,Total,,22941.0
2022,Total,,21594.0
2000,Total,M,11877.0
2001,Total,M,14573.0
2002,Total,M,12468.0
2003,Total,M,12833.0
2004,Total,M,12596.0
2005,Total,M,13181.0
2006,Total,M,13655.0
2007,Total,M,13450.0
2008,Total,M,12880.0
2009,Total,M,11869.0
2010,Total,M,11411.0
2011,Total,M,11399.0
2012,Total,M,11555.0
2013,Total,M,11150.0
2014,Total,M,10980.0
2015,Total,M,12549.0
2016,Total,M,13696.0
2017,Total,M,13600.0
2018,Total,M,12680.0
2019,Total,M,13082.0
2020,Total,M,17220.0
2021,Total,M,17968.0
2022,Total,M,16886.0
2000,Total,F,3709.0
2001,Total,F,4460.0
2002,Total,F,3761.0
2003,Total,F,3695.0
2004,Total,F,3552.0
2005,Total,F,3559.0
2006,Total,F,3654.0
2007,Total,F,3678.0
2008,Total,F,3585.0
2009,Total,F,3530.0
2010,Total,F,3311.0
2011,Total,F,3262.0
2012,Total,F,3301.0
2013,Total,F,3169.0
2014,Total,F,3184.0
2015,Total,F,3334.0
2016,Total,F,3717.0
2017,Total,F,3694.0
2018,Total,F,3694.0
2019,Total,F,3587.0
2020,Total,F,4350.0
2021,Total,F,4974.0
2022,Total,F,4707.0
