Value,Disaggregation combinations using this value,Number of indicators
"Commitments, USD Current",2,2
Commitments,1,1
Disbursements,1,1
"Gross Commitments, USD Current",1,1
"Gross Disbursements, USD Current",14,6
"Net Disbursements, USD Current",1,1
