Value,Disaggregation combinations using this value,Number of indicators
DEEPWELL / UNDERGROUND INJECTION,1,1
ENERGY RECOVERY,1,1
FUEL BLENDING,1,1
INCINERATION,1,1
LAND TREATMENT / APPLICATION,1,1
LANDFILL,1,1
METALS RECOVERY,1,1
OTHER RECOVERY,1,1
OTHER TREATMENT,1,1
SLUDGE TRTMNT / STAB / ENCAP,1,1
SOLVENTS RECOVERY,1,1
SURF. IMP. CLOSED AS LANDFILL,1,1
WASTEWATER TREATMENT,1,1
