Value,Disaggregation combinations using this value,Number of indicators
Chained 2017 dollars,1,1
Current Dollars,2,2
freight-tonnage,5,1
lbs/person,1,1
passenger-kilometers,4,1
Percent,82,10
Rate,1,1
Share,13,8
Tons,1,1
Total,3,1
