Value,Disaggregation combinations using this value,Number of indicators
75 or older,1,1
Y0T17,1,1
Y0T19,1,1
Y0T24,3,2
Y10T14,1,1
Y13T24,1,1
Y15T19,2,2
Y15T24,8,1
Y16T19,6,2
Y16T64,4,1
Y18T64,1,1
Y20T24,7,3
Y20T29,1,1
Y25T29,1,1
Y25T34,18,6
Y25T54,8,1
Y30T34,1,1
Y30T39,1,1
Y35T39,1,1
Y35T44,18,6
Y40T44,1,1
Y40T49,1,1
Y45T49,1,1
Y45T54,18,6
Y50T54,1,1
Y50T59,1,1
Y55T59,1,1
Y55T64,16,4
Y55T65,1,1
Y60T64,1,1
Y65T69,1,1
Y70T74,1,1
Y_GE15,8,1
Y_GE16,6,2
Y_GE20,6,2
Y_GE25,6,2
Y_GE60,1,1
Y_GE65,15,4
