Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-3-1,1
#16-1-1,1
#16-1-4,1
#16-3-1,1
#3-3-1,1
#3-3-4,1
#4-1-1,4
#4-2-2,1
#4-3-1,2
#4-4-1,1
#4-5-1,1
#4-7-1,1
#5-4-1,32
#8-5-1,10
#8-5-2,22
#8-8-1,3
