Value,Disaggregation combinations using this value,Number of indicators
15–19,1,1
16 -19,6,2
16 - 64,4,1
16 +,6,2
20 - 24,6,2
20 +,6,2
20–24,1,1
25 - 34,6,2
25 +,6,2
25–29,1,1
30–34,1,1
35 - 44,6,2
35–39,1,1
40–44,1,1
45 - 54,6,2
45–49,1,1
50–54,1,1
55 - 64,6,2
55–59,1,1
60–64,1,1
65 +,6,2
65–69,1,1
70–74,1,1
75 or older,1,1
