Indicator,Disaggregation combinations using this value
#1-3-1,16
#12-4-2,13
#12-5-1,1
#6-3-2,3
#8-1-1,1
#8-2-1,1
#8-5-2,44
#8-6-1,1
#8-9-1,1
#9-2-2,1
