Indicator
#1-3-1
#1-5-2
#10-4-1
#11-5-2
#12-2-2
#12-3-1
#12-4-2
#12-5-1
#15-a-1
#15-b-1
#16-1-1
#17-1-1
#17-3-2
#17-4-1
#6-3-2
#8-1-1
#8-2-1
#8-4-2
#8-5-2
#8-6-1
#8-9-1
#9-1-2
#9-2-1
#9-2-2
