Value,Disaggregation combinations using this value,Number of indicators
15 to 24 years,8,1
15 years and over,8,1
25 to 34 years,8,1
25 to 54 years,8,1
35 to 44 years,8,1
45 to 54 years,8,1
55 to 64 years,8,1
65 years and over,8,1
