Indicator
#1-2-1
#1-3-1
#10-1-1
#10-4-1
#10-4-2
#10-7-3
#10-7-4
#10-a-1
#11-1-1
#11-5-2
#11-5-3
#11-6-2
#12-2-2
#13-2-2
#14-4-1
#14-5-1
#15-8-1
#16-1-1
#16-1-4
#16-3-1
#16-3-2
#16-3-3
#16-9-1
#17-1-1
#17-3-2
#17-4-1
#17-6-2
#17-8-1
#2-1-2
#2-2-3
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-4
#3-4-1
#3-4-2
#3-6-1
#3-7-2
#3-9-1
#3-9-3
#3-a-1
#3-b-2
#3-c-1
#3-d-2
#4-1-1
#4-1-2
#4-2-2
#4-5-1
#4-a-1
#4-c-1
#5-2-2
#5-4-1
#5-5-1
#5-5-2
#5-b-1
#6-1-1
#7-1-1
#7-1-2
#7-2-1
#7-3-1
#8-1-1
#8-10-1
#8-10-2
#8-2-1
#8-4-2
#8-5-1
#8-5-2
#8-6-1
#8-8-1
#8-9-1
#8-9-2
#8-a-1
#9-1-2
#9-2-1
#9-2-2
#9-4-1
#9-5-1
#9-5-2
#9-a-1
#9-c-1
