Value,Disaggregation combinations using this value,Number of indicators
high quartile,2,1
high,1,1
i4_4_1_tech_highinc,1,1
i4_4_1_tech_lowinc,1,1
low quartile,2,1
low,1,1
mid quartile,2,1
middle high,1,1
middle low,1,1
middle,1,1
