Year,Value
1981,2312.7
1982,2379.1
1983,2479.4
1984,2600.4
1985,2539.3
1986,2702.1
1987,2811.1
1988,2847.8
1989,2912.9
1990,2945.2
1991,2942.7
1992,2983.8
1993,3001.2
1994,2939.3
1995,2987.6
1996,3124.6
1997,3228.2
1998,3396.0
1999,3455.6
2000,3459.4
2001,3500.2
2002,3548.8
2003,3751.2
2004,3613.2
2005,3539.2
2006,3577.0
2007,3526.5
2008,3655.1
2009,3781.6
2010,3546.5
2011,3662.6
2012,3652.8
2013,3743.6
2014,3848.0
2015,3888.2
2016,3844.5
2017,3978.2
2018,4289.5
2019,4342.4
2020,4562.9
2021,4932.1
