Year,Value
2000,447
2001,434
2002,430
2003,422
2004,414
2005,402
2006,385
2007,384
2008,372
2009,354
2010,358
2011,344
2012,323
2013,325
2014,320
2015,303
2016,293
2017,284
2018,284
