Year,SEX,AGE,DISABILITY_STATUS,Units,Value
2009,M,Y_GE16,PD,Percent,15.1
2010,M,Y_GE16,PD,Percent,15.2
2011,M,Y_GE16,PD,Percent,15.3
2012,M,Y_GE16,PD,Percent,13.2
2013,M,Y_GE16,PD,Percent,13.0
2014,M,Y_GE16,PD,Percent,12.5
2015,M,Y_GE16,PD,Percent,10.6
2016,M,Y_GE16,PD,Percent,10.1
2017,M,Y_GE16,PD,Percent,9.0
2018,M,Y_GE16,PD,Percent,7.9
2019,M,Y_GE16,PD,Percent,7.4
2020,M,Y_GE16,PD,Percent,12.0
2021,M,Y_GE16,PD,Percent,10.1
2022,M,Y_GE16,PD,Percent,7.8
2023,M,Y_GE16,PD,Percent,7.2
2009,M,Y_GE16,PWD,Percent,10.1
2010,M,Y_GE16,PWD,Percent,10.3
2011,M,Y_GE16,PWD,Percent,9.1
2012,M,Y_GE16,PWD,Percent,8.0
2013,M,Y_GE16,PWD,Percent,7.4
2014,M,Y_GE16,PWD,Percent,6.0
2015,M,Y_GE16,PWD,Percent,5.2
2016,M,Y_GE16,PWD,Percent,4.7
2017,M,Y_GE16,PWD,Percent,4.2
2018,M,Y_GE16,PWD,Percent,3.8
2019,M,Y_GE16,PWD,Percent,3.6
2020,M,Y_GE16,PWD,Percent,7.6
2021,M,Y_GE16,PWD,Percent,5.3
2022,M,Y_GE16,PWD,Percent,3.5
2023,M,Y_GE16,PWD,Percent,3.6
2009,M,Y16T64,PD,Percent,16.4
2010,M,Y16T64,PD,Percent,16.4
2011,M,Y16T64,PD,Percent,16.6
2012,M,Y16T64,PD,Percent,14.5
2013,M,Y16T64,PD,Percent,14.6
2014,M,Y16T64,PD,Percent,14.1
2015,M,Y16T64,PD,Percent,11.6
2016,M,Y16T64,PD,Percent,11.2
2017,M,Y16T64,PD,Percent,10.0
2018,M,Y16T64,PD,Percent,8.7
2019,M,Y16T64,PD,Percent,8.3
2020,M,Y16T64,PD,Percent,13.0
2021,M,Y16T64,PD,Percent,11.1
2022,M,Y16T64,PD,Percent,8.5
2023,M,Y16T64,PD,Percent,7.8
2009,M,Y16T64,PWD,Percent,10.2
2010,M,Y16T64,PWD,Percent,10.5
2011,M,Y16T64,PWD,Percent,9.3
2012,M,Y16T64,PWD,Percent,8.1
2013,M,Y16T64,PWD,Percent,7.5
2014,M,Y16T64,PWD,Percent,6.1
2015,M,Y16T64,PWD,Percent,5.3
2016,M,Y16T64,PWD,Percent,4.8
2017,M,Y16T64,PWD,Percent,4.3
2018,M,Y16T64,PWD,Percent,3.8
2019,M,Y16T64,PWD,Percent,3.6
2020,M,Y16T64,PWD,Percent,7.7
2021,M,Y16T64,PWD,Percent,5.3
2022,M,Y16T64,PWD,Percent,3.5
2023,M,Y16T64,PWD,Percent,3.7
2009,M,Y16T19,PD,Percent,42.3
2010,M,Y16T19,PD,Percent,38.5
2011,M,Y16T19,PD,Percent,48.8
2012,M,Y16T19,PD,Percent,40.7
2013,M,Y16T19,PD,Percent,43.4
2014,M,Y16T19,PD,Percent,44.9
2015,M,Y16T19,PD,Percent,34.2
2016,M,Y16T19,PD,Percent,36.6
2017,M,Y16T19,PD,Percent,25.1
2018,M,Y16T19,PD,Percent,27.7
2019,M,Y16T19,PD,Percent,27.9
2020,M,Y16T19,PD,Percent,26.3
2021,M,Y16T19,PD,Percent,20.6
2022,M,Y16T19,PD,Percent,21.5
2023,M,Y16T19,PD,Percent,17.6
2009,M,Y16T19,PWD,Percent,27.4
2010,M,Y16T19,PWD,Percent,28.5
2011,M,Y16T19,PWD,Percent,26.6
2012,M,Y16T19,PWD,Percent,26.4
2013,M,Y16T19,PWD,Percent,25.1
2014,M,Y16T19,PWD,Percent,20.8
2015,M,Y16T19,PWD,Percent,18.0
2016,M,Y16T19,PWD,Percent,16.5
2017,M,Y16T19,PWD,Percent,15.3
2018,M,Y16T19,PWD,Percent,14.1
2019,M,Y16T19,PWD,Percent,13.4
2020,M,Y16T19,PWD,Percent,18.1
2021,M,Y16T19,PWD,Percent,12.3
2022,M,Y16T19,PWD,Percent,10.8
2023,M,Y16T19,PWD,Percent,12.1
2009,M,Y_GE20,PD,Percent,14.2
2010,M,Y_GE20,PD,Percent,14.5
2011,M,Y_GE20,PD,Percent,14.6
2012,M,Y_GE20,PD,Percent,12.4
2013,M,Y_GE20,PD,Percent,12.3
2014,M,Y_GE20,PD,Percent,11.7
2015,M,Y_GE20,PD,Percent,10.0
2016,M,Y_GE20,PD,Percent,9.4
2017,M,Y_GE20,PD,Percent,8.6
2018,M,Y_GE20,PD,Percent,7.4
2019,M,Y_GE20,PD,Percent,6.8
2020,M,Y_GE20,PD,Percent,11.6
2021,M,Y_GE20,PD,Percent,9.8
2022,M,Y_GE20,PD,Percent,7.4
2023,M,Y_GE20,PD,Percent,7.0
2009,M,Y_GE20,PWD,Percent,9.4
2010,M,Y_GE20,PWD,Percent,9.6
2011,M,Y_GE20,PWD,Percent,8.5
2012,M,Y_GE20,PWD,Percent,7.3
2013,M,Y_GE20,PWD,Percent,6.8
2014,M,Y_GE20,PWD,Percent,5.5
2015,M,Y_GE20,PWD,Percent,4.7
2016,M,Y_GE20,PWD,Percent,4.3
2017,M,Y_GE20,PWD,Percent,3.8
2018,M,Y_GE20,PWD,Percent,3.4
2019,M,Y_GE20,PWD,Percent,3.2
2020,M,Y_GE20,PWD,Percent,7.3
2021,M,Y_GE20,PWD,Percent,5.0
2022,M,Y_GE20,PWD,Percent,3.2
2023,M,Y_GE20,PWD,Percent,3.3
2009,M,Y20T24,PD,Percent,29.2
2010,M,Y20T24,PD,Percent,25.7
2011,M,Y20T24,PD,Percent,30.6
2012,M,Y20T24,PD,Percent,29.7
2013,M,Y20T24,PD,Percent,28.9
2014,M,Y20T24,PD,Percent,27.1
2015,M,Y20T24,PD,Percent,20.1
2016,M,Y20T24,PD,Percent,19.5
2017,M,Y20T24,PD,Percent,15.9
2018,M,Y20T24,PD,Percent,17.8
2019,M,Y20T24,PD,Percent,11.1
2020,M,Y20T24,PD,Percent,21.5
2021,M,Y20T24,PD,Percent,18.4
2022,M,Y20T24,PD,Percent,16.9
2023,M,Y20T24,PD,Percent,15.6
2009,M,Y20T24,PWD,Percent,16.6
2010,M,Y20T24,PWD,Percent,17.6
2011,M,Y20T24,PWD,Percent,15.4
2012,M,Y20T24,PWD,Percent,14.0
2013,M,Y20T24,PWD,Percent,13.6
2014,M,Y20T24,PWD,Percent,11.8
2015,M,Y20T24,PWD,Percent,10.5
2016,M,Y20T24,PWD,Percent,9.0
2017,M,Y20T24,PWD,Percent,8.2
2018,M,Y20T24,PWD,Percent,7.4
2019,M,Y20T24,PWD,Percent,7.6
2020,M,Y20T24,PWD,Percent,13.5
2021,M,Y20T24,PWD,Percent,9.5
2022,M,Y20T24,PWD,Percent,7.5
2023,M,Y20T24,PWD,Percent,7.0
2009,M,Y_GE25,PD,Percent,13.2
2010,M,Y_GE25,PD,Percent,13.8
2011,M,Y_GE25,PD,Percent,13.7
2012,M,Y_GE25,PD,Percent,11.4
2013,M,Y_GE25,PD,Percent,11.1
2014,M,Y_GE25,PD,Percent,10.6
2015,M,Y_GE25,PD,Percent,9.2
