Year,SEX,AGE,DISABILITY_STATUS,Units,Value
2016,M,Y_GE25,PD,Percent,8.7
2017,M,Y_GE25,PD,Percent,8.2
2018,M,Y_GE25,PD,Percent,6.7
2019,M,Y_GE25,PD,Percent,6.5
2020,M,Y_GE25,PD,Percent,10.9
2021,M,Y_GE25,PD,Percent,9.2
2022,M,Y_GE25,PD,Percent,6.7
2023,M,Y_GE25,PD,Percent,6.3
2009,M,Y_GE25,PWD,Percent,8.6
2010,M,Y_GE25,PWD,Percent,8.7
2011,M,Y_GE25,PWD,Percent,7.7
2012,M,Y_GE25,PWD,Percent,6.6
2013,M,Y_GE25,PWD,Percent,6.0
2014,M,Y_GE25,PWD,Percent,4.8
2015,M,Y_GE25,PWD,Percent,4.1
2016,M,Y_GE25,PWD,Percent,3.8
2017,M,Y_GE25,PWD,Percent,3.3
2018,M,Y_GE25,PWD,Percent,3.0
2019,M,Y_GE25,PWD,Percent,2.8
2020,M,Y_GE25,PWD,Percent,6.6
2021,M,Y_GE25,PWD,Percent,4.6
2022,M,Y_GE25,PWD,Percent,2.8
2023,M,Y_GE25,PWD,Percent,2.9
2009,M,Y25T34,PD,Percent,19.2
2010,M,Y25T34,PD,Percent,22.4
2011,M,Y25T34,PD,Percent,21.0
2012,M,Y25T34,PD,Percent,16.8
2013,M,Y25T34,PD,Percent,16.7
2014,M,Y25T34,PD,Percent,17.6
2015,M,Y25T34,PD,Percent,15.2
2016,M,Y25T34,PD,Percent,13.3
2017,M,Y25T34,PD,Percent,15.3
2018,M,Y25T34,PD,Percent,9.8
2019,M,Y25T34,PD,Percent,11.9
2020,M,Y25T34,PD,Percent,14.8
2021,M,Y25T34,PD,Percent,13.9
2022,M,Y25T34,PD,Percent,10.1
2023,M,Y25T34,PD,Percent,8.8
2009,M,Y25T34,PWD,Percent,10.7
2010,M,Y25T34,PWD,Percent,10.6
2011,M,Y25T34,PWD,Percent,9.4
2012,M,Y25T34,PWD,Percent,8.0
2013,M,Y25T34,PWD,Percent,7.3
2014,M,Y25T34,PWD,Percent,6.1
2015,M,Y25T34,PWD,Percent,5.3
2016,M,Y25T34,PWD,Percent,4.9
2017,M,Y25T34,PWD,Percent,4.3
2018,M,Y25T34,PWD,Percent,3.7
2019,M,Y25T34,PWD,Percent,3.5
2020,M,Y25T34,PWD,Percent,8.4
2021,M,Y25T34,PWD,Percent,5.7
2022,M,Y25T34,PWD,Percent,3.7
2023,M,Y25T34,PWD,Percent,4.0
2009,M,Y35T44,PD,Percent,16.5
2010,M,Y35T44,PD,Percent,14.3
2011,M,Y35T44,PD,Percent,16.7
2012,M,Y35T44,PD,Percent,14.3
2013,M,Y35T44,PD,Percent,15.7
2014,M,Y35T44,PD,Percent,13.7
2015,M,Y35T44,PD,Percent,12.8
2016,M,Y35T44,PD,Percent,9.0
2017,M,Y35T44,PD,Percent,10.1
2018,M,Y35T44,PD,Percent,7.9
2019,M,Y35T44,PD,Percent,6.1
2020,M,Y35T44,PD,Percent,10.9
2021,M,Y35T44,PD,Percent,10.1
2022,M,Y35T44,PD,Percent,8.5
2023,M,Y35T44,PD,Percent,6.8
2009,M,Y35T44,PWD,Percent,8.4
2010,M,Y35T44,PWD,Percent,8.3
2011,M,Y35T44,PWD,Percent,7.2
2012,M,Y35T44,PWD,Percent,6.2
2013,M,Y35T44,PWD,Percent,5.5
2014,M,Y35T44,PWD,Percent,4.4
2015,M,Y35T44,PWD,Percent,3.7
2016,M,Y35T44,PWD,Percent,3.5
2017,M,Y35T44,PWD,Percent,3.1
2018,M,Y35T44,PWD,Percent,2.7
2019,M,Y35T44,PWD,Percent,2.5
2020,M,Y35T44,PWD,Percent,6.0
2021,M,Y35T44,PWD,Percent,4.5
2022,M,Y35T44,PWD,Percent,2.7
2023,M,Y35T44,PWD,Percent,2.7
2009,M,Y45T54,PD,Percent,14.5
2010,M,Y45T54,PD,Percent,14.9
2011,M,Y45T54,PD,Percent,14.3
2012,M,Y45T54,PD,Percent,11.5
2013,M,Y45T54,PD,Percent,11.5
2014,M,Y45T54,PD,Percent,12.2
2015,M,Y45T54,PD,Percent,8.6
2016,M,Y45T54,PD,Percent,10.0
2017,M,Y45T54,PD,Percent,9.1
2018,M,Y45T54,PD,Percent,6.4
2019,M,Y45T54,PD,Percent,7.9
2020,M,Y45T54,PD,Percent,10.5
2021,M,Y45T54,PD,Percent,9.0
2022,M,Y45T54,PD,Percent,6.4
2023,M,Y45T54,PD,Percent,6.3
2009,M,Y45T54,PWD,Percent,7.9
2010,M,Y45T54,PWD,Percent,8.3
2011,M,Y45T54,PWD,Percent,7.1
2012,M,Y45T54,PWD,Percent,6.0
2013,M,Y45T54,PWD,Percent,5.5
2014,M,Y45T54,PWD,Percent,4.1
2015,M,Y45T54,PWD,Percent,3.4
2016,M,Y45T54,PWD,Percent,3.1
2017,M,Y45T54,PWD,Percent,2.8
2018,M,Y45T54,PWD,Percent,2.7
2019,M,Y45T54,PWD,Percent,2.5
2020,M,Y45T54,PWD,Percent,5.7
2021,M,Y45T54,PWD,Percent,3.9
2022,M,Y45T54,PWD,Percent,2.2
2023,M,Y45T54,PWD,Percent,2.4
2009,M,Y55T64,PD,Percent,10.2
2010,M,Y55T64,PD,Percent,11.9
2011,M,Y55T64,PD,Percent,10.8
2012,M,Y55T64,PD,Percent,10.2
2013,M,Y55T64,PD,Percent,9.1
2014,M,Y55T64,PD,Percent,7.7
2015,M,Y55T64,PD,Percent,7.0
2016,M,Y55T64,PD,Percent,7.7
2017,M,Y55T64,PD,Percent,5.0
2018,M,Y55T64,PD,Percent,6.2
2019,M,Y55T64,PD,Percent,4.5
2020,M,Y55T64,PD,Percent,10.8
2021,M,Y55T64,PD,Percent,8.3
2022,M,Y55T64,PD,Percent,5.1
2023,M,Y55T64,PD,Percent,5.3
2009,M,Y55T64,PWD,Percent,6.9
2010,M,Y55T64,PWD,Percent,7.7
2011,M,Y55T64,PWD,Percent,6.9
2012,M,Y55T64,PWD,Percent,6.0
2013,M,Y55T64,PWD,Percent,5.4
2014,M,Y55T64,PWD,Percent,4.3
2015,M,Y55T64,PWD,Percent,3.7
2016,M,Y55T64,PWD,Percent,3.5
2017,M,Y55T64,PWD,Percent,3.0
2018,M,Y55T64,PWD,Percent,2.8
2019,M,Y55T64,PWD,Percent,2.4
2020,M,Y55T64,PWD,Percent,6.1
2021,M,Y55T64,PWD,Percent,4.0
2022,M,Y55T64,PWD,Percent,2.4
2023,M,Y55T64,PWD,Percent,2.5
2009,M,Y_GE65,PD,Percent,7.4
2010,M,Y_GE65,PD,Percent,8.5
2011,M,Y_GE65,PD,Percent,8.7
2012,M,Y_GE65,PD,Percent,7.3
2013,M,Y_GE65,PD,Percent,6.0
2014,M,Y_GE65,PD,Percent,5.8
2015,M,Y_GE65,PD,Percent,6.0
2016,M,Y_GE65,PD,Percent,5.7
2017,M,Y_GE65,PD,Percent,5.2
2018,M,Y_GE65,PD,Percent,4.5
2019,M,Y_GE65,PD,Percent,3.9
2020,M,Y_GE65,PD,Percent,8.3
2021,M,Y_GE65,PD,Percent,5.9
2022,M,Y_GE65,PD,Percent,4.8
2023,M,Y_GE65,PD,Percent,4.8
2009,M,Y_GE65,PWD,Percent,6.6
2010,M,Y_GE65,PWD,Percent,6.9
2011,M,Y_GE65,PWD,Percent,6.2
2012,M,Y_GE65,PWD,Percent,6.0
2013,M,Y_GE65,PWD,Percent,5.5
2014,M,Y_GE65,PWD,Percent,4.4
2015,M,Y_GE65,PWD,Percent,3.5
2016,M,Y_GE65,PWD,Percent,3.5
2017,M,Y_GE65,PWD,Percent,3.1
2018,M,Y_GE65,PWD,Percent,3.0
2019,M,Y_GE65,PWD,Percent,2.8
2020,M,Y_GE65,PWD,Percent,6.6
2021,M,Y_GE65,PWD,Percent,4.1
2022,M,Y_GE65,PWD,Percent,2.8
2023,M,Y_GE65,PWD,Percent,2.5
2009,F,Y_GE16,PD,Percent,13.8
2010,F,Y_GE16,PD,Percent,14.3
2011,F,Y_GE16,PD,Percent,14.7
2012,F,Y_GE16,PD,Percent,13.7
2013,F,Y_GE16,PD,Percent,13.5
2014,F,Y_GE16,PD,Percent,12.5
2015,F,Y_GE16,PD,Percent,10.8
2016,F,Y_GE16,PD,Percent,11.0
2017,F,Y_GE16,PD,Percent,9.5
2018,F,Y_GE16,PD,Percent,8.1
2019,F,Y_GE16,PD,Percent,7.3
2020,F,Y_GE16,PD,Percent,13.2
2021,F,Y_GE16,PD,Percent,10.1
2022,F,Y_GE16,PD,Percent,7.4
2023,F,Y_GE16,PD,Percent,7.2
2009,F,Y_GE16,PWD,Percent,7.8
2010,F,Y_GE16,PWD,Percent,8.4
2011,F,Y_GE16,PWD,Percent,8.2
2012,F,Y_GE16,PWD,Percent,7.7
2013,F,Y_GE16,PWD,Percent,6.8
2014,F,Y_GE16,PWD,Percent,5.8
2015,F,Y_GE16,PWD,Percent,5.0
2016,F,Y_GE16,PWD,Percent,4.6
2017,F,Y_GE16,PWD,Percent,4.1
2018,F,Y_GE16,PWD,Percent,3.7
2019,F,Y_GE16,PWD,Percent,3.5
2020,F,Y_GE16,PWD,Percent,8.2
2021,F,Y_GE16,PWD,Percent,5.0
2022,F,Y_GE16,PWD,Percent,3.4
2023,F,Y_GE16,PWD,Percent,3.3
2009,F,Y16T64,PD,Percent,14.7
2010,F,Y16T64,PD,Percent,15.0
2011,F,Y16T64,PD,Percent,15.8
2012,F,Y16T64,PD,Percent,14.7
2013,F,Y16T64,PD,Percent,14.7
2014,F,Y16T64,PD,Percent,13.7
2015,F,Y16T64,PD,Percent,11.7
2016,F,Y16T64,PD,Percent,11.7
2017,F,Y16T64,PD,Percent,10.1
2018,F,Y16T64,PD,Percent,8.7
2019,F,Y16T64,PD,Percent,7.7
2020,F,Y16T64,PD,Percent,13.9
2021,F,Y16T64,PD,Percent,10.5
2022,F,Y16T64,PD,Percent,7.8
2023,F,Y16T64,PD,Percent,7.6
2009,F,Y16T64,PWD,Percent,7.9
2010,F,Y16T64,PWD,Percent,8.5
2011,F,Y16T64,PWD,Percent,8.3
2012,F,Y16T64,PWD,Percent,7.7
2013,F,Y16T64,PWD,Percent,6.9
2014,F,Y16T64,PWD,Percent,5.9
2015,F,Y16T64,PWD,Percent,5.0
2016,F,Y16T64,PWD,Percent,4.6
2017,F,Y16T64,PWD,Percent,4.1
2018,F,Y16T64,PWD,Percent,3.7
2019,F,Y16T64,PWD,Percent,3.5
2020,F,Y16T64,PWD,Percent,8.2
2021,F,Y16T64,PWD,Percent,5.1
2022,F,Y16T64,PWD,Percent,3.5
2023,F,Y16T64,PWD,Percent,3.3
2009,F,Y16T19,PD,Percent,32.5
2010,F,Y16T19,PD,Percent,30.3
2011,F,Y16T19,PD,Percent,34.5
2012,F,Y16T19,PD,Percent,35.5
2013,F,Y16T19,PD,Percent,41.3
2014,F,Y16T19,PD,Percent,36.1
2015,F,Y16T19,PD,Percent,26.5
2016,F,Y16T19,PD,Percent,34.8
2017,F,Y16T19,PD,Percent,26.3
2018,F,Y16T19,PD,Percent,24.0
2019,F,Y16T19,PD,Percent,14.2
2020,F,Y16T19,PD,Percent,27.3
2021,F,Y16T19,PD,Percent,21.5
2022,F,Y16T19,PD,Percent,17.7
2023,F,Y16T19,PD,Percent,18.2
2009,F,Y16T19,PWD,Percent,20.4
2010,F,Y16T19,PWD,Percent,22.7
2011,F,Y16T19,PWD,Percent,21.4
2012,F,Y16T19,PWD,Percent,20.9
2013,F,Y16T19,PWD,Percent,19.8
2014,F,Y16T19,PWD,Percent,17.3
2015,F,Y16T19,PWD,Percent,15.2
2016,F,Y16T19,PWD,Percent,13.7
2017,F,Y16T19,PWD,Percent,12.2
2018,F,Y16T19,PWD,Percent,11.1
2019,F,Y16T19,PWD,Percent,11.4
2020,F,Y16T19,PWD,Percent,17.2
2021,F,Y16T19,PWD,Percent,10.5
2022,F,Y16T19,PWD,Percent,10.1
2023,F,Y16T19,PWD,Percent,9.8
2009,F,Y_GE20,PD,Percent,13.3
2010,F,Y_GE20,PD,Percent,14.0
2011,F,Y_GE20,PD,Percent,14.3
2012,F,Y_GE20,PD,Percent,13.2
2013,F,Y_GE20,PD,Percent,12.7
2014,F,Y_GE20,PD,Percent,12.0
2015,F,Y_GE20,PD,Percent,10.4
2016,F,Y_GE20,PD,Percent,10.4
2017,F,Y_GE20,PD,Percent,9.0
2018,F,Y_GE20,PD,Percent,7.7
2019,F,Y_GE20,PD,Percent,7.1
2020,F,Y_GE20,PD,Percent,12.9
2021,F,Y_GE20,PD,Percent,9.8
2022,F,Y_GE20,PD,Percent,7.0
2023,F,Y_GE20,PD,Percent,6.8
2009,F,Y_GE20,PWD,Percent,7.2
2010,F,Y_GE20,PWD,Percent,7.8
2011,F,Y_GE20,PWD,Percent,7.7
2012,F,Y_GE20,PWD,Percent,7.1
2013,F,Y_GE20,PWD,Percent,6.3
2014,F,Y_GE20,PWD,Percent,5.4
2015,F,Y_GE20,PWD,Percent,4.6
2016,F,Y_GE20,PWD,Percent,4.2
2017,F,Y_GE20,PWD,Percent,3.8
2018,F,Y_GE20,PWD,Percent,3.4
2019,F,Y_GE20,PWD,Percent,3.1
2020,F,Y_GE20,PWD,Percent,7.8
2021,F,Y_GE20,PWD,Percent,4.8
2022,F,Y_GE20,PWD,Percent,3.1
2023,F,Y_GE20,PWD,Percent,3.0
2009,F,Y20T24,PD,Percent,21.9
2010,F,Y20T24,PD,Percent,22.9
2011,F,Y20T24,PD,Percent,23.1
2012,F,Y20T24,PD,Percent,25.1
2013,F,Y20T24,PD,Percent,26.5
2014,F,Y20T24,PD,Percent,24.0
2015,F,Y20T24,PD,Percent,20.6
2016,F,Y20T24,PD,Percent,19.6
2017,F,Y20T24,PD,Percent,16.3
2018,F,Y20T24,PD,Percent,11.3
2019,F,Y20T24,PD,Percent,11.8
2020,F,Y20T24,PD,Percent,20.6
2021,F,Y20T24,PD,Percent,14.6
2022,F,Y20T24,PD,Percent,12.4
2023,F,Y20T24,PD,Percent,8.8
2009,F,Y20T24,PWD,Percent,12.1
2010,F,Y20T24,PWD,Percent,12.8
2011,F,Y20T24,PWD,Percent,13.2
2012,F,Y20T24,PWD,Percent,11.9
2013,F,Y20T24,PWD,Percent,11.2
2014,F,Y20T24,PWD,Percent,9.8
2015,F,Y20T24,PWD,Percent,8.2
2016,F,Y20T24,PWD,Percent,7.1
2017,F,Y20T24,PWD,Percent,6.0
2018,F,Y20T24,PWD,Percent,6.0
2019,F,Y20T24,PWD,Percent,5.5
2020,F,Y20T24,PWD,Percent,13.6
2021,F,Y20T24,PWD,Percent,7.9
2022,F,Y20T24,PWD,Percent,5.9
2023,F,Y20T24,PWD,Percent,5.7
2009,F,Y_GE25,PD,Percent,12.7
2010,F,Y_GE25,PD,Percent,13.4
2011,F,Y_GE25,PD,Percent,13.8
2012,F,Y_GE25,PD,Percent,12.5
2013,F,Y_GE25,PD,Percent,11.8
2014,F,Y_GE25,PD,Percent,11.1
2015,F,Y_GE25,PD,Percent,9.7
2016,F,Y_GE25,PD,Percent,9.6
2017,F,Y_GE25,PD,Percent,8.5
2018,F,Y_GE25,PD,Percent,7.4
2019,F,Y_GE25,PD,Percent,6.8
2020,F,Y_GE25,PD,Percent,12.3
2021,F,Y_GE25,PD,Percent,9.4
2022,F,Y_GE25,PD,Percent,6.5
2023,F,Y_GE25,PD,Percent,6.6
2009,F,Y_GE25,PWD,Percent,6.7
2010,F,Y_GE25,PWD,Percent,7.2
2011,F,Y_GE25,PWD,Percent,7.0
2012,F,Y_GE25,PWD,Percent,6.5
2013,F,Y_GE25,PWD,Percent,5.7
2014,F,Y_GE25,PWD,Percent,4.8
2015,F,Y_GE25,PWD,Percent,4.1
2016,F,Y_GE25,PWD,Percent,3.8
2017,F,Y_GE25,PWD,Percent,3.5
2018,F,Y_GE25,PWD,Percent,3.1
2019,F,Y_GE25,PWD,Percent,2.9
2020,F,Y_GE25,PWD,Percent,7.2
2021,F,Y_GE25,PWD,Percent,4.4
2022,F,Y_GE25,PWD,Percent,2.8
2023,F,Y_GE25,PWD,Percent,2.7
2009,F,Y25T34,PD,Percent,21.2
2010,F,Y25T34,PD,Percent,20.6
2011,F,Y25T34,PD,Percent,22.7
2012,F,Y25T34,PD,Percent,19.4
2013,F,Y25T34,PD,Percent,17.8
2014,F,Y25T34,PD,Percent,18.3
2015,F,Y25T34,PD,Percent,17.3
2016,F,Y25T34,PD,Percent,16.3
2017,F,Y25T34,PD,Percent,12.2
2018,F,Y25T34,PD,Percent,12.2
2019,F,Y25T34,PD,Percent,9.8
2020,F,Y25T34,PD,Percent,17.6
2021,F,Y25T34,PD,Percent,11.8
2022,F,Y25T34,PD,Percent,8.8
2023,F,Y25T34,PD,Percent,9.5
2009,F,Y25T34,PWD,Percent,8.3
2010,F,Y25T34,PWD,Percent,8.9
2011,F,Y25T34,PWD,Percent,8.8
2012,F,Y25T34,PWD,Percent,8.1
2013,F,Y25T34,PWD,Percent,7.0
2014,F,Y25T34,PWD,Percent,6.4
2015,F,Y25T34,PWD,Percent,5.3
2016,F,Y25T34,PWD,Percent,4.8
2017,F,Y25T34,PWD,Percent,4.4
2018,F,Y25T34,PWD,Percent,3.8
2019,F,Y25T34,PWD,Percent,3.6
2020,F,Y25T34,PWD,Percent,8.1
2021,F,Y25T34,PWD,Percent,5.2
2022,F,Y25T34,PWD,Percent,3.7
2023,F,Y25T34,PWD,Percent,3.4
2009,F,Y35T44,PD,Percent,15.4
2010,F,Y35T44,PD,Percent,16.3
2011,F,Y35T44,PD,Percent,16.8
2012,F,Y35T44,PD,Percent,17.4
2013,F,Y35T44,PD,Percent,14.5
2014,F,Y35T44,PD,Percent,13.8
2015,F,Y35T44,PD,Percent,10.8
2016,F,Y35T44,PD,Percent,11.0
2017,F,Y35T44,PD,Percent,10.6
2018,F,Y35T44,PD,Percent,7.6
2019,F,Y35T44,PD,Percent,8.1
2020,F,Y35T44,PD,Percent,13.7
2021,F,Y35T44,PD,Percent,11.1
2022,F,Y35T44,PD,Percent,9.0
2023,F,Y35T44,PD,Percent,7.7
2009,F,Y35T44,PWD,Percent,6.9
2010,F,Y35T44,PWD,Percent,7.4
2011,F,Y35T44,PWD,Percent,6.9
2012,F,Y35T44,PWD,Percent,6.5
2013,F,Y35T44,PWD,Percent,5.8
2014,F,Y35T44,PWD,Percent,4.6
2015,F,Y35T44,PWD,Percent,4.2
2016,F,Y35T44,PWD,Percent,3.9
2017,F,Y35T44,PWD,Percent,3.5
2018,F,Y35T44,PWD,Percent,3.0
2019,F,Y35T44,PWD,Percent,2.7
2020,F,Y35T44,PWD,Percent,6.5
2021,F,Y35T44,PWD,Percent,4.4
2022,F,Y35T44,PWD,Percent,2.8
2023,F,Y35T44,PWD,Percent,2.6
2009,F,Y45T54,PD,Percent,12.3
2010,F,Y45T54,PD,Percent,13.5
2011,F,Y45T54,PD,Percent,14.0
2012,F,Y45T54,PD,Percent,14.0
2013,F,Y45T54,PD,Percent,13.2
2014,F,Y45T54,PD,Percent,11.0
2015,F,Y45T54,PD,Percent,9.0
2016,F,Y45T54,PD,Percent,9.0
2017,F,Y45T54,PD,Percent,8.4
2018,F,Y45T54,PD,Percent,7.1
2019,F,Y45T54,PD,Percent,6.9
2020,F,Y45T54,PD,Percent,11.8
2021,F,Y45T54,PD,Percent,10.5
2022,F,Y45T54,PD,Percent,5.8
2023,F,Y45T54,PD,Percent,6.8
2009,F,Y45T54,PWD,Percent,5.7
2010,F,Y45T54,PWD,Percent,6.5
2011,F,Y45T54,PWD,Percent,6.4
2012,F,Y45T54,PWD,Percent,5.9
2013,F,Y45T54,PWD,Percent,5.2
2014,F,Y45T54,PWD,Percent,4.2
2015,F,Y45T54,PWD,Percent,3.6
2016,F,Y45T54,PWD,Percent,3.5
2017,F,Y45T54,PWD,Percent,3.1
2018,F,Y45T54,PWD,Percent,2.7
2019,F,Y45T54,PWD,Percent,2.5
2020,F,Y45T54,PWD,Percent,6.7
2021,F,Y45T54,PWD,Percent,4.0
2022,F,Y45T54,PWD,Percent,2.4
2023,F,Y45T54,PWD,Percent,2.2
2009,F,Y55T64,PD,Percent,9.9
2010,F,Y55T64,PD,Percent,10.2
2011,F,Y55T64,PD,Percent,10.9
2012,F,Y55T64,PD,Percent,8.5
2013,F,Y55T64,PD,Percent,9.6
2014,F,Y55T64,PD,Percent,9.3
2015,F,Y55T64,PD,Percent,8.4
2016,F,Y55T64,PD,Percent,7.6
2017,F,Y55T64,PD,Percent,7.0
2018,F,Y55T64,PD,Percent,6.5
