Year,Value
2000,418
2001,406
2002,402
2003,396
2004,388
2005,376
2006,361
2007,359
2008,347
2009,331
2010,333
2011,320
2012,300
2013,301
2014,296
2015,280
2016,270
2017,262
2018,261
2019,249
2020,227
2021,229
2022,226
2023,214
