Year,Value
2001,13.6
2002,13.5
2003,13.6
2004,13.8
2005,15.1
2006,15.3
2007,16.1
2008,16.4
2009,16.8
2010,16.8
2011,16.8
2012,16.8
2013,18.5
2014,18.7
2015,19.4
2016,19.6
2017,19.6
2018,20.6
2019,23.6
2020,23.7
