Year,AGE,Value
2000,Y15T19,47.7
2001,Y15T19,45.0
2002,Y15T19,42.6
2003,Y15T19,41.1
2004,Y15T19,40.5
2005,Y15T19,39.7
2006,Y15T19,41.1
2007,Y15T19,41.5
2008,Y15T19,40.2
2009,Y15T19,37.9
2010,Y15T19,34.2
2011,Y15T19,31.3
2012,Y15T19,29.4
2013,Y15T19,26.5
2014,Y15T19,24.2
2015,Y15T19,22.3
2016,Y15T19,20.3
2017,Y15T19,18.8
2018,Y15T19,17.4
2019,Y15T19,16.7
2020,Y15T19,15.0
2021,Y15T19,13.9
2022,Y15T19,13.6
2000,Y10T14,0.9
2001,Y10T14,0.8
2002,Y10T14,0.7
2003,Y10T14,0.6
2004,Y10T14,0.6
2005,Y10T14,0.6
2006,Y10T14,0.6
2007,Y10T14,0.6
2008,Y10T14,0.6
2009,Y10T14,0.5
2010,Y10T14,0.4
2011,Y10T14,0.4
2012,Y10T14,0.4
2013,Y10T14,0.3
2014,Y10T14,0.3
2015,Y10T14,0.2
2016,Y10T14,0.2
2017,Y10T14,0.2
2018,Y10T14,0.2
2019,Y10T14,0.2
2020,Y10T14,0.2
2021,Y10T14,0.2
2022,Y10T14,0.2
