Year,SEX,Value
2000,,46.0
2001,,49.0
2002,,50.8
2003,,47.5
2004,,50.3
2005,,45.8
2006,,46.6
2007,,44.9
2008,,46.4
2009,,44.1
2010,,51.1
2011,,49.0
2012,,44.2
2013,,45.6
2014,,46.0
2015,,46.5
2016,,43.9
2017,,44.9
2018,,42.6
2019,,40.9
2020,,40.2
2021,,45.6
2022,,41.5
2000,M,43.9
2001,M,48.4
2002,M,46.9
2003,M,44.9
2004,M,47.2
2005,M,42.0
2006,M,44.8
2007,M,43.6
2008,M,41.4
2009,M,39.9
2010,M,47.8
2011,M,41.8
2012,M,42.3
2013,M,44.4
2014,M,43.0
2015,M,45.4
2016,M,45.7
2017,M,41.8
2018,M,45.2
2019,M,35.7
2020,M,37.1
2021,M,42.4
2022,M,37.5
2000,F,48.8
2001,F,49.7
2002,F,54.9
2003,F,50.4
2004,F,53.8
2005,F,51.0
2006,F,48.9
2007,F,46.6
2008,F,51.9
2009,F,48.3
2010,F,54.6
2011,F,58.5
2012,F,47.3
2013,F,47.1
2014,F,49.7
2015,F,47.5
2016,F,42.2
2017,F,47.7
2018,F,40.5
2019,F,45.9
2020,F,43.1
2021,F,49.1
2022,F,45.3
