Year,Value
2000,6.86
2001,6.63
2002,6.6
2003,6.44
2004,6.35
2005,6.14
2006,5.92
2007,5.9
2008,5.76
2009,5.6
2010,5.67
2011,5.51
2012,5.26
2013,5.29
2014,5.22
2015,5.03
2016,4.92
2017,4.79
2018,4.82
2019,4.67
2020,4.39
2021,4.36
2022,4.34
2023,4.18
