Year,SEX,AGE,race_ethnicity,Value
2008,,,,18.6
2009,,,,17.5
2010,,,,16.7
2011,,,,15.8
2012,,,,15.4
2013,,,,14.8
2014,,,,14.9
2015,,,,14.8
2016,,,,14.5
2017,,,,14.0
2018,,,,13.5
2019,,,,13.2
2020,,,,10.8
2021,,,,12.7
2022,,,,13.3
2008,male_13_pls_y,,,28.9
2009,male_13_pls_y,,,27.6
2010,male_13_pls_y,,,26.7
2011,male_13_pls_y,,,25.6
2012,male_13_pls_y,,,25.3
2013,male_13_pls_y,,,24.4
2014,male_13_pls_y,,,24.8
2015,male_13_pls_y,,,24.6
2016,male_13_pls_y,,,24.1
2017,male_13_pls_y,,,23.2
2018,male_13_pls_y,,,22.5
2019,male_13_pls_y,,,21.8
2020,male_13_pls_y,,,18.1
2021,male_13_pls_y,,,21.0
2022,male_13_pls_y,,,22.0
2008,female_13_pls_y,,,8.7
2009,female_13_pls_y,,,7.8
2010,female_13_pls_y,,,7.1
2011,female_13_pls_y,,,6.5
2012,female_13_pls_y,,,6.0
2013,female_13_pls_y,,,5.6
2014,female_13_pls_y,,,5.5
2015,female_13_pls_y,,,5.3
2016,female_13_pls_y,,,5.3
2017,female_13_pls_y,,,5.2
2018,female_13_pls_y,,,5.0
2019,female_13_pls_y,,,4.9
2020,female_13_pls_y,,,3.8
2021,female_13_pls_y,,,4.6
2022,female_13_pls_y,,,4.9
2008,,Y13T24,,16.7
2009,,Y13T24,,17.1
2010,,Y13T24,,17.6
2011,,Y13T24,,17.3
2012,,Y13T24,,17.4
2013,,Y13T24,,16.7
2014,,Y13T24,,17.4
2015,,Y13T24,,17.5
2016,,Y13T24,,16.7
2017,,Y13T24,,16.1
2018,,Y13T24,,15.4
2019,,Y13T24,,15.0
2020,,Y13T24,,11.7
2021,,Y13T24,,13.3
2022,,Y13T24,,13.3
2008,,Y25T34,,30.3
2009,,Y25T34,,28.5
2010,,Y25T34,,28.2
2011,,Y25T34,,27.3
2012,,Y25T34,,27.7
2013,,Y25T34,,27.4
2014,,Y25T34,,28.8
2015,,Y25T34,,29.4
2016,,Y25T34,,30.2
2017,,Y25T34,,29.4
2018,,Y25T34,,29.1
2019,,Y25T34,,28.3
2020,,Y25T34,,24.8
2021,,Y25T34,,28.8
2022,,Y25T34,,30.8
2008,,Y35T44,,29.4
2009,,Y35T44,,27.1
2010,,Y35T44,,24.5
2011,,Y35T44,,22.2
2012,,Y35T44,,20.7
2013,,Y35T44,,19.3
2014,,Y35T44,,19.5
2015,,Y35T44,,18.6
2016,,Y35T44,,18.2
2017,,Y35T44,,17.5
2018,,Y35T44,,17.2
2019,,Y35T44,,16.8
2020,,Y35T44,,13.7
2021,,Y35T44,,17.4
2022,,Y35T44,,19.0
2008,,Y45T54,,20.9
2009,,Y45T54,,19.2
2010,,Y45T54,,18.1
2011,,Y45T54,,17.2
2012,,Y45T54,,16.5
2013,,Y45T54,,15.5
2014,,Y45T54,,14.9
2015,,Y45T54,,14.5
2016,,Y45T54,,13.6
2017,,Y45T54,,13.0
2018,,Y45T54,,12.4
2019,,Y45T54,,11.8
2020,,Y45T54,,9.4
2021,,Y45T54,,10.8
2022,,Y45T54,,11.2
2008,,,black_nh,69.8
2009,,,black_nh,64.8
2010,,,black_nh,61.0
2011,,,black_nh,57.5
2012,,,black_nh,54.1
2013,,,black_nh,51.1
2014,,,black_nh,51.5
2015,,,black_nh,50.8
2016,,,black_nh,49.6
2017,,,black_nh,47.7
2018,,,black_nh,45.7
2019,,,black_nh,44.5
2020,,,black_nh,36.3
2021,,,black_nh,41.2
2022,,,black_nh,41.6
2008,,,white_nh,7.2
2009,,,white_nh,6.7
2010,,,white_nh,6.6
2011,,,white_nh,6.2
2012,,,white_nh,6.2
2013,,,white_nh,6.0
2014,,,white_nh,5.9
2015,,,white_nh,5.8
2016,,,white_nh,5.6
2017,,,white_nh,5.5
2018,,,white_nh,5.4
2019,,,white_nh,5.2
2020,,,white_nh,4.4
2021,,,white_nh,5.2
2022,,,white_nh,5.3
2008,,,hispanic,28.7
2009,,,hispanic,27.2
2010,,,hispanic,25.0
2011,,,hispanic,23.7
2012,,,hispanic,23.5
2013,,,hispanic,22.7
2014,,,hispanic,23.3
2015,,,hispanic,23.1
2016,,,hispanic,23.1
2017,,,hispanic,22.1
2018,,,hispanic,21.6
2019,,,hispanic,21.1
2020,,,hispanic,16.8
2021,,,hispanic,20.5
2022,,,hispanic,23.4
