Year,SEX,Value
2000,,66.0
2001,,69.0
2002,,64.0
2003,,64.0
2004,,67.0
2005,,62.0
2006,,63.0
2007,,62.0
2008,,63.0
2009,,66.0
2010,,63.0
2011,,61.0
2013,,65.0
2014,,63.0
2015,,64.0
2016,,64.0
2017,,69.0
2018,,66.0
2019,,63.0
2020,,70.0
2021,,63.0
2022,,
2023,,60.0
2004,M,79.0
2005,M,76.0
2006,M,75.0
2007,M,74.0
2008,M,72.0
2009,M,78.0
2010,M,78.0
2011,M,70.0
2013,M,76.0
2014,M,73.0
2015,M,74.0
2016,M,
2017,M,
2018,M,
2019,M,
2020,M,
2021,M,73.0
2022,M,
2023,M,73.0
2004,F,57.0
2005,F,50.0
2006,F,52.0
2007,F,53.0
2008,F,55.0
2009,F,55.0
2010,F,50.0
2011,F,54.0
2013,F,56.0
2014,F,55.0
2015,F,54.0
2016,F,
2017,F,
2018,F,
2019,F,
2020,F,
2021,F,53.0
2022,F,
2023,F,47.0
