Year,Value
2001,30.0
2002,29.9
2003,31.1
2004,31.2
2005,31.4
2006,32.3
2007,33.4
2008,44.4
2009,44.8
2010,34.0
2011,34.7
2012,34.4
2013,34.3
2014,34.6
2015,34.7
