Year,Value
2000,4.24
2001,3.72
2002,3.94
2003,4.09
2004,4.19
2005,4.31
2006,4.61
2007,4.64
2008,5.24
2009,5.78
2010,6.2
2011,6.71
2012,6.71
2013,6.99
2014,7.13
2015,7.23
2016,7.57
2017,7.86
2018,7.74
2019,7.86
2020,8.22
2021,8.19
2022,8.54
2023,8.81
