Year,Units,Value
2000,Percent,2.9
2001,Percent,0.0
2002,Percent,0.7
2003,Percent,1.9
2004,Percent,2.9
2005,Percent,2.5
2006,Percent,1.8
2007,Percent,1.0
2008,Percent,-0.8
2009,Percent,-3.4
2010,Percent,1.8
2011,Percent,0.8
2012,Percent,1.5
2013,Percent,1.4
2014,Percent,1.7
2015,Percent,2.1
2016,Percent,1.0
2017,Percent,1.8
2018,Percent,2.4
2019,Percent,1.9
2020,Percent,-2.6
2021,Percent,5.6
2022,Percent,1.6
2023,Percent,2.0
