Year,Sex,Age,Value
2009,Men,16 +,736
2010,Men,16 +,761
2011,Men,16 +,787
2012,Men,16 +,792
2013,Men,16 +,775
2014,Men,16 +,825
2015,Men,16 +,819
2016,Men,16 +,795
2017,Men,16 +,878
2018,Men,16 +,893
2019,Men,16 +,884
2020,Men,16 +,961
2021,Men,16 +,986
2022,Men,16 +,1077
2023,Men,16 +,1063
2009,Men,16 -19,327
2010,Men,16 -19,313
2011,Men,16 -19,359
2012,Men,16 -19,382
2013,Men,16 -19,339
2014,Men,16 -19,409
2015,Men,16 -19,332
2016,Men,16 -19,337
2017,Men,16 -19,453
2018,Men,16 -19,462
2019,Men,16 -19,476
2020,Men,16 -19,511
2021,Men,16 -19,539
2022,Men,16 -19,677
2023,Men,16 -19,682
2009,Men,20 +,742
2010,Men,20 +,766
2011,Men,20 +,788
2012,Men,20 +,795
2013,Men,20 +,777
2014,Men,20 +,832
2015,Men,20 +,823
2016,Men,20 +,799
2017,Men,20 +,882
2018,Men,20 +,903
2019,Men,20 +,891
2020,Men,20 +,970
2021,Men,20 +,991
2022,Men,20 +,1087
2023,Men,20 +,1070
2009,Men,20 - 24,426
2010,Men,20 - 24,410
2011,Men,20 - 24,441
2012,Men,20 - 24,448
2013,Men,20 - 24,394
2014,Men,20 - 24,397
2015,Men,20 - 24,531
2016,Men,20 - 24,472
2017,Men,20 - 24,489
2018,Men,20 - 24,484
2019,Men,20 - 24,605
2020,Men,20 - 24,583
2021,Men,20 - 24,598
2022,Men,20 - 24,653
2023,Men,20 - 24,731
2009,Men,25 +,766
2010,Men,25 +,786
2011,Men,25 +,803
2012,Men,25 +,814
2013,Men,25 +,803
2014,Men,25 +,865
2015,Men,25 +,847
2016,Men,25 +,823
2017,Men,25 +,901
2018,Men,25 +,937
2019,Men,25 +,918
2020,Men,25 +,1002
2021,Men,25 +,1011
2022,Men,25 +,1123
2023,Men,25 +,1111
2009,Men,25 - 34,627
2010,Men,25 - 34,586
2011,Men,25 - 34,677
2012,Men,25 - 34,644
2013,Men,25 - 34,626
2014,Men,25 - 34,615
2015,Men,25 - 34,694
2016,Men,25 - 34,619
2017,Men,25 - 34,717
2018,Men,25 - 34,809
2019,Men,25 - 34,747
2020,Men,25 - 34,811
2021,Men,25 - 34,886
2022,Men,25 - 34,935
2023,Men,25 - 34,905
2009,Men,35 - 44,726
2010,Men,35 - 44,795
2011,Men,35 - 44,827
2012,Men,35 - 44,831
2013,Men,35 - 44,816
2014,Men,35 - 44,902
2015,Men,35 - 44,871
2016,Men,35 - 44,791
2017,Men,35 - 44,854
2018,Men,35 - 44,937
2019,Men,35 - 44,955
2020,Men,35 - 44,981
2021,Men,35 - 44,1030
2022,Men,35 - 44,1127
2023,Men,35 - 44,1248
2009,Men,45 - 54,819
2010,Men,45 - 54,783
2011,Men,45 - 54,807
2012,Men,45 - 54,832
2013,Men,45 - 54,810
2014,Men,45 - 54,908
2015,Men,45 - 54,871
2016,Men,45 - 54,853
2017,Men,45 - 54,938
2018,Men,45 - 54,965
2019,Men,45 - 54,972
2020,Men,45 - 54,1081
2021,Men,45 - 54,1173
2022,Men,45 - 54,1125
2023,Men,45 - 54,1182
2009,Men,55 - 64,847
2010,Men,55 - 64,914
2011,Men,55 - 64,874
2012,Men,55 - 64,907
2013,Men,55 - 64,892
2014,Men,55 - 64,948
2015,Men,55 - 64,920
2016,Men,55 - 64,915
2017,Men,55 - 64,971
2018,Men,55 - 64,1008
2019,Men,55 - 64,1004
2020,Men,55 - 64,1090
