Year,Sex,Age,Value
2021,Men,55 - 64,1016
2022,Men,55 - 64,1232
2023,Men,55 - 64,1169
2009,Men,65 +,695
2010,Men,65 +,658
2011,Men,65 +,759
2012,Men,65 +,738
2013,Men,65 +,803
2014,Men,65 +,755
2015,Men,65 +,804
2016,Men,65 +,894
2017,Men,65 +,957
2018,Men,65 +,892
2019,Men,65 +,933
2020,Men,65 +,1011
2021,Men,65 +,991
2022,Men,65 +,1098
2023,Men,65 +,1002
2009,Women,16 +,611
2010,Women,16 +,598
2011,Women,16 +,620
2012,Women,16 +,627
2013,Women,16 +,649
2014,Women,16 +,640
2015,Women,16 +,646
2016,Women,16 +,677
2017,Women,16 +,693
2018,Women,16 +,701
2019,Women,16 +,725
2020,Women,16 +,765
2021,Women,16 +,785
2022,Women,16 +,875
2023,Women,16 +,909
2009,Women,16 -19,292
2010,Women,16 -19,327
2011,Women,16 -19,432
2012,Women,16 -19,327
2013,Women,16 -19,393
2014,Women,16 -19,388
2015,Women,16 -19,346
2016,Women,16 -19,382
2017,Women,16 -19,346
2018,Women,16 -19,387
2019,Women,16 -19,563
2020,Women,16 -19,400
2021,Women,16 -19,544
2022,Women,16 -19,607
2023,Women,16 -19,515
2009,Women,20 +,613
2010,Women,20 +,601
2011,Women,20 +,620
2012,Women,20 +,629
2013,Women,20 +,650
2014,Women,20 +,640
2015,Women,20 +,651
2016,Women,20 +,680
2017,Women,20 +,695
2018,Women,20 +,705
2019,Women,20 +,726
2020,Women,20 +,768
2021,Women,20 +,794
2022,Women,20 +,879
2023,Women,20 +,914
2009,Women,20 - 24,383
2010,Women,20 - 24,432
2011,Women,20 - 24,369
2012,Women,20 - 24,388
2013,Women,20 - 24,389
2014,Women,20 - 24,414
2015,Women,20 - 24,422
2016,Women,20 - 24,452
2017,Women,20 - 24,479
2018,Women,20 - 24,566
2019,Women,20 - 24,494
2020,Women,20 - 24,539
2021,Women,20 - 24,578
2022,Women,20 - 24,680
2023,Women,20 - 24,692
2009,Women,25 +,625
2010,Women,25 +,613
2011,Women,25 +,635
2012,Women,25 +,646
2013,Women,25 +,664
2014,Women,25 +,655
2015,Women,25 +,668
2016,Women,25 +,699
2017,Women,25 +,709
2018,Women,25 +,722
2019,Women,25 +,742
2020,Women,25 +,791
2021,Women,25 +,822
2022,Women,25 +,902
2023,Women,25 +,939
2009,Women,25 - 34,498
2010,Women,25 - 34,556
2011,Women,25 - 34,561
2012,Women,25 - 34,576
2013,Women,25 - 34,567
2014,Women,25 - 34,526
2015,Women,25 - 34,577
2016,Women,25 - 34,562
2017,Women,25 - 34,649
2018,Women,25 - 34,677
2019,Women,25 - 34,667
2020,Women,25 - 34,723
2021,Women,25 - 34,750
2022,Women,25 - 34,970
2023,Women,25 - 34,900
2009,Women,35 - 44,634
2010,Women,35 - 44,681
2011,Women,35 - 44,645
2012,Women,35 - 44,602
2013,Women,35 - 44,684
2014,Women,35 - 44,655
2015,Women,35 - 44,673
2016,Women,35 - 44,729
2017,Women,35 - 44,704
2018,Women,35 - 44,764
2019,Women,35 - 44,823
2020,Women,35 - 44,793
2021,Women,35 - 44,884
2022,Women,35 - 44,920
2023,Women,35 - 44,994
2009,Women,45 - 54,646
2010,Women,45 - 54,608
2011,Women,45 - 54,646
2012,Women,45 - 54,638
2013,Women,45 - 54,682
2014,Women,45 - 54,695
2015,Women,45 - 54,675
2016,Women,45 - 54,740
2017,Women,45 - 54,735
2018,Women,45 - 54,768
2019,Women,45 - 54,748
2020,Women,45 - 54,776
2021,Women,45 - 54,859
2022,Women,45 - 54,912
2023,Women,45 - 54,1017
2009,Women,55 - 64,665
2010,Women,55 - 64,641
2011,Women,55 - 64,672
2012,Women,55 - 64,743
2013,Women,55 - 64,731
2014,Women,55 - 64,706
2015,Women,55 - 64,670
2016,Women,55 - 64,732
2017,Women,55 - 64,740
2018,Women,55 - 64,731
2019,Women,55 - 64,764
2020,Women,55 - 64,866
2021,Women,55 - 64,843
2022,Women,55 - 64,883
2023,Women,55 - 64,910
2009,Women,65 +,628
2010,Women,65 +,561
2011,Women,65 +,575
2012,Women,65 +,593
2013,Women,65 +,668
2014,Women,65 +,571
2015,Women,65 +,736
2016,Women,65 +,660
2017,Women,65 +,696
2018,Women,65 +,694
2019,Women,65 +,709
2020,Women,65 +,785
2021,Women,65 +,803
2022,Women,65 +,765
2023,Women,65 +,827
