Year,Value
2000,0.229
2001,0.25
2002,0.254
2003,0.245
2004,0.249
2005,0.24
2006,0.249
2007,0.256
2008,0.261
2009,0.251
2010,0.246
2011,0.234
2012,0.233
2013,0.236
2014,0.239
2015,0.243
2016,0.246
2017,0.248
2018,0.248
