Year,Value
2000,2.61
2001,2.63
2002,2.54
2003,2.54
2004,2.48
2005,2.5
2006,2.54
2007,2.61
2008,2.75
2009,2.79
2010,2.71
2011,2.74
2012,2.68
2013,2.7
2014,2.71
2015,2.71
2016,2.75
2017,2.78
