Year,subject,grade,sex,Value
2001,reading,4th,,59
2003,reading,4th,,63
2005,reading,4th,,64
2007,reading,4th,,67
2009,reading,4th,,67
2011,reading,4th,,67
2013,reading,4th,,68
2015,reading,4th,,69
2017,reading,4th,,68
2001,reading,4th,male,55
2003,reading,4th,male,60
2005,reading,4th,male,61
2007,reading,4th,male,64
2009,reading,4th,male,64
2011,reading,4th,male,64
2013,reading,4th,male,65
2015,reading,4th,male,66
2017,reading,4th,male,65
2001,reading,4th,female,64
2003,reading,4th,female,67
2005,reading,4th,female,67
2007,reading,4th,female,70
2009,reading,4th,female,70
2011,reading,4th,female,71
2013,reading,4th,female,72
2015,reading,4th,female,72
2017,reading,4th,female,71
2003,reading,8th,,74
2005,reading,8th,,73
2007,reading,8th,,74
2009,reading,8th,,75
2011,reading,8th,,76
2013,reading,8th,,78
2015,reading,8th,,76
2017,reading,8th,,76
2003,reading,8th,male,69
2005,reading,8th,male,68
2007,reading,8th,male,69
2009,reading,8th,male,71
2011,reading,8th,male,72
2013,reading,8th,male,74
2015,reading,8th,male,72
2017,reading,8th,male,72
2003,reading,8th,female,79
2005,reading,8th,female,78
2007,reading,8th,female,79
2009,reading,8th,female,79
2011,reading,8th,female,80
2013,reading,8th,female,82
2015,reading,8th,female,80
2017,reading,8th,female,81
2000,math,4th,,65
2003,math,4th,,77
2005,math,4th,,80
2007,math,4th,,82
2009,math,4th,,82
2011,math,4th,,82
2013,math,4th,,83
2015,math,4th,,82
2017,math,4th,,80
2000,math,4th,male,67
2003,math,4th,male,78
2005,math,4th,male,81
2007,math,4th,male,82
2009,math,4th,male,82
2011,math,4th,male,83
2013,math,4th,male,82
2015,math,4th,male,82
2017,math,4th,male,80
2000,math,4th,female,64
2003,math,4th,female,76
2005,math,4th,female,80
2007,math,4th,female,82
2009,math,4th,female,82
2011,math,4th,female,82
2013,math,4th,female,83
2015,math,4th,female,82
2017,math,4th,female,80
2000,math,8th,,63
2003,math,8th,,68
2005,math,8th,,69
2007,math,8th,,71
2009,math,8th,,73
2011,math,8th,,73
2013,math,8th,,74
2015,math,8th,,71
2017,math,8th,,70
2000,math,8th,male,64
2003,math,8th,male,69
2005,math,8th,male,70
2007,math,8th,male,72
2009,math,8th,male,73
2011,math,8th,male,73
2013,math,8th,male,74
2015,math,8th,male,71
2017,math,8th,male,70
2000,math,8th,female,63
2003,math,8th,female,67
2005,math,8th,female,69
2007,math,8th,female,71
2009,math,8th,female,72
2011,math,8th,female,73
2013,math,8th,female,74
2015,math,8th,female,72
2017,math,8th,female,70
2019,reading,4th,,66
2019,reading,4th,male,63
2019,reading,4th,female,70
2022,reading,4th,,63
2022,reading,4th,male,60
2022,reading,4th,female,66
2019,reading,8th,,73
2019,reading,8th,male,68
2019,reading,8th,female,78
2022,reading,8th,,70
2022,reading,8th,male,66
2022,reading,8th,female,74
2019,math,4th,,81
2019,math,4th,male,81
2019,math,4th,female,80
2022,math,4th,,75
2022,math,4th,male,77
2022,math,4th,female,73
2019,math,8th,,69
2019,math,8th,male,68
2019,math,8th,female,70
2022,math,8th,,62
2022,math,8th,male,62
2022,math,8th,female,61
