Year,Units,Value
2000,Share,0
2001,Share,0.06
2002,Share,0
2003,Share,0
2004,Share,0.07
2005,Share,0.24
2006,Share,0
2007,Share,0
2008,Share,0.03
2009,Share,0
2010,Share,0
2011,Share,0
2012,Share,0.06
2013,Share,0
2014,Share,0
2015,Share,0
2016,Share,0
2017,Share,0.13
2018,Share,0.06
2019,Share,0
2020,Share,0
2021,Share,0.06
2022,Share,0.06
2023,Share,0
