Year,Units,Value
2000,Share,0.570
2001,Share,0.571
2002,Share,0.561
2003,Share,0.555
2004,Share,0.550
2005,Share,0.542
2006,Share,0.541
2007,Share,0.544
2008,Share,0.545
2009,Share,0.536
2010,Share,0.527
2011,Share,0.527
2012,Share,0.527
2013,Share,0.523
2014,Share,0.525
2015,Share,0.530
2016,Share,0.530
2017,Share,0.532
2018,Share,0.530
2019,Share,0.532
2020,Share,0.544
2021,Share,0.532
2022,Share,0.522
