Year,Value
2000,608.5
2001,594.5
2002,586.5
2003,571.6
2004,545.9
2005,538.9
2006,514.6
2007,500.3
2008,494
2009,475.6
2010,470
2011,460.4
2012,452.2
2013,448.2
2014,441.3
2015,442.9
2016,435.5
2017,433
2018,426
2019,419.3
2020,428.3
2021,438.5
2022,423.6
