INDICATOR 14.4.1 - Proportion of fish stocks within biologically sustainable levels,,,,,,,,
The value for this indicator represents the percentage of US fish stocks at a sustainable level. ,,,,,,,,
,,,,,,,,
,,,,,,,,
Year,Value,,,,,,,
2005,53,,,,,,,
2006,54,,,,,,,
2007,55,,,,,,,
2008,58,,,,,,,
2009,60,,,,,,,
2010,60,,,,,,,
2011,65,,,,,,,
2012,66,,,,,,,
2013,66,,,,,,,
2014,73,,,,,,,
2015,74,,,,,,,
2016,74,,,,,,,
2017,75,,,,,,,
2018,72,,,,,,,
2019,79,,,,,,,
2020,77,,,,,,,
2021,76,,,,,,,
2022,76,,,,,,,
2023,78,,,,,,,
