Year,Units,Value
2000,Percent,11.9
2001,Percent,11.4
2002,Percent,10.7
2003,Percent,10.2
2004,Percent,9.9
2005,Percent,9.7
2006,Percent,9.5
2007,Percent,9.3
2008,Percent,9
2009,Percent,8.3
2010,Percent,8.2
2011,Percent,8.2
2012,Percent,8.2
2013,Percent,8.2
2014,Percent,8.1
2015,Percent,8.1
2016,Percent,8
2017,Percent,7.9
2018,Percent,7.9
2019,Percent,7.9
2020,Percent,8
2021,Percent,7.8
2022,Percent,7.9
2023,Percent,7.8
