Year,Units,Value
2000,Share,0.229
2001,Share,0.25
2002,Share,0.254
2003,Share,0.245
2004,Share,0.249
2005,Share,0.24
2006,Share,0.249
2007,Share,0.256
2008,Share,0.261
2009,Share,0.251
2010,Share,0.246
2011,Share,0.234
2012,Share,0.233
2013,Share,0.236
2014,Share,0.239
2015,Share,0.243
2016,Share,0.246
2017,Share,0.248
2018,Share,0.248
