Year,Value
2000,1.88
2001,1.7
2002,1.55
2003,1.48
2004,1.44
2005,1.37
2006,
2007,1.32
2008,1.31
2009,1.17
2010,1.08
2011,1.2
2012,1.36
2013,1.15
2014,1.11
2015,0.98
2016,1.06
2017,1.14
2018,1.18
2019,1.1
2020,0.93
2021,0.98
2022,1.24
