Year,SEX,AGE,INCOME_WEALTH_QUANTILE,Value
2012,,,,39
2012,M,,,42
2012,F,,,36
2012,,Y0T24,,43
2012,,Y25T34,,45
2012,,Y35T44,,42
2012,,Y45T54,,33
2012,,Y55T65,,29
2012,,,Q1,38
2012,,,Q5,55
