year,social_security_pop,pct_pop_20_older_full_insrd
2000,289812000,87
2001,292717000,87
2002,295757000,87
2003,298329000,88
2004,301322000,88
2005,303692000,88
2006,305953000,88
2007,308436000,88
2008,311264000,88
2009,313862000,87
2010,315991000,87
2011,318194000,87
2012,320520000,87
2013,322543000,87
2014,324402000,88
2015,326826000,88
2016,329735000,88
2017,332503000,88
2018,335341000,87
