year,stunt_pct_us
2000,3.2
2001,3.2
2002,
2003,3.1
2004,
2005,2.9
2006,
2007,3.1
2008,
2009,2.3
2010,
2011,2.8
2012,
2013,2.2
2014,
2015,2.4
