year,manuf_va_as_pctgdp,manuf_va_percapita
2000,15.1,5944.8
2001,13.9,5635.9
2002,13.4,5631.1
2003,13.3,5888.7
2004,13.2,6247.7
2005,13.0,6378.2
2006,13.0,6676.3
2007,12.8,6831.0
2008,12.2,6629.9
2009,11.8,5967.3
2010,12.0,6238.6
2011,12.0,6216.7
2012,11.9,6132.3
2013,11.9,6277.1
2014,11.7,6293.4
2015,11.7,6282.0
2016,11.1,6164.5
2017,11.2,6274.5
2018,11.4,6516.1
