year,net_outflow_dbt_sctrs_pct_exprts
2000,4.9
2001,-0.2
2002,6.4
2003,1.5
2004,9.2
2005,6.3
2006,24.4
2007,14.1
2008,-13.3
2009,19.7
2010,6.5
2011,3.7
2012,6.5
2013,8.5
2014,6.4
2015,-1.6
2016,0.7
2017,17.9
2018,4.5
