year,pct_forest_totland
2000,33.18
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,33.75
2011,
2012,
2013,
2014,
2015,33.9
2016,33.9
2017,33.87
2018,33.87
