year,pct_agr_rgdppcap
2000,3.0
2001,0.0
2002,0.8
2003,1.9
2004,2.9
2005,2.6
2006,1.9
2007,0.9
2008,-1.1
2009,-3.4
2010,1.7
2011,0.8
2012,1.5
2013,1.1
2014,1.7
2015,2.1
2016,0.8
2017,1.6
2018,2.2
