Year,subject,EDUCATION_LEV,SEX,Value
2001,SKILL_READ,4th,,59
2003,SKILL_READ,4th,,63
2005,SKILL_READ,4th,,64
2007,SKILL_READ,4th,,67
2009,SKILL_READ,4th,,67
2011,SKILL_READ,4th,,67
2013,SKILL_READ,4th,,68
2015,SKILL_READ,4th,,69
2017,SKILL_READ,4th,,68
2001,SKILL_READ,4th,M,55
2003,SKILL_READ,4th,M,60
2005,SKILL_READ,4th,M,61
2007,SKILL_READ,4th,M,64
2009,SKILL_READ,4th,M,64
2011,SKILL_READ,4th,M,64
2013,SKILL_READ,4th,M,65
2015,SKILL_READ,4th,M,66
2017,SKILL_READ,4th,M,65
2001,SKILL_READ,4th,F,64
2003,SKILL_READ,4th,F,67
2005,SKILL_READ,4th,F,67
2007,SKILL_READ,4th,F,70
2009,SKILL_READ,4th,F,70
2011,SKILL_READ,4th,F,71
2013,SKILL_READ,4th,F,72
2015,SKILL_READ,4th,F,72
2017,SKILL_READ,4th,F,71
2003,SKILL_READ,8th,,74
2005,SKILL_READ,8th,,73
2007,SKILL_READ,8th,,74
2009,SKILL_READ,8th,,75
2011,SKILL_READ,8th,,76
2013,SKILL_READ,8th,,78
2015,SKILL_READ,8th,,76
2017,SKILL_READ,8th,,76
2003,SKILL_READ,8th,M,69
2005,SKILL_READ,8th,M,68
2007,SKILL_READ,8th,M,69
2009,SKILL_READ,8th,M,71
2011,SKILL_READ,8th,M,72
2013,SKILL_READ,8th,M,74
2015,SKILL_READ,8th,M,72
2017,SKILL_READ,8th,M,72
2003,SKILL_READ,8th,F,79
2005,SKILL_READ,8th,F,78
2007,SKILL_READ,8th,F,79
2009,SKILL_READ,8th,F,79
2011,SKILL_READ,8th,F,80
2013,SKILL_READ,8th,F,82
2015,SKILL_READ,8th,F,80
2017,SKILL_READ,8th,F,81
2000,SKILL_MATH,4th,,65
2003,SKILL_MATH,4th,,77
2005,SKILL_MATH,4th,,80
2007,SKILL_MATH,4th,,82
2009,SKILL_MATH,4th,,82
2011,SKILL_MATH,4th,,82
2013,SKILL_MATH,4th,,83
2015,SKILL_MATH,4th,,82
2017,SKILL_MATH,4th,,80
2000,SKILL_MATH,4th,M,67
2003,SKILL_MATH,4th,M,78
2005,SKILL_MATH,4th,M,81
2007,SKILL_MATH,4th,M,82
2009,SKILL_MATH,4th,M,82
2011,SKILL_MATH,4th,M,83
2013,SKILL_MATH,4th,M,82
2015,SKILL_MATH,4th,M,82
2017,SKILL_MATH,4th,M,80
2000,SKILL_MATH,4th,F,64
2003,SKILL_MATH,4th,F,76
2005,SKILL_MATH,4th,F,80
2007,SKILL_MATH,4th,F,82
2009,SKILL_MATH,4th,F,82
2011,SKILL_MATH,4th,F,82
2013,SKILL_MATH,4th,F,83
2015,SKILL_MATH,4th,F,82
2017,SKILL_MATH,4th,F,80
2000,SKILL_MATH,8th,,63
2003,SKILL_MATH,8th,,68
2005,SKILL_MATH,8th,,69
2007,SKILL_MATH,8th,,71
2009,SKILL_MATH,8th,,73
2011,SKILL_MATH,8th,,73
2013,SKILL_MATH,8th,,74
2015,SKILL_MATH,8th,,71
2017,SKILL_MATH,8th,,70
2000,SKILL_MATH,8th,M,64
2003,SKILL_MATH,8th,M,69
2005,SKILL_MATH,8th,M,70
2007,SKILL_MATH,8th,M,72
2009,SKILL_MATH,8th,M,73
2011,SKILL_MATH,8th,M,73
2013,SKILL_MATH,8th,M,74
2015,SKILL_MATH,8th,M,71
2017,SKILL_MATH,8th,M,70
2000,SKILL_MATH,8th,F,63
2003,SKILL_MATH,8th,F,67
2005,SKILL_MATH,8th,F,69
2007,SKILL_MATH,8th,F,71
2009,SKILL_MATH,8th,F,72
2011,SKILL_MATH,8th,F,73
2013,SKILL_MATH,8th,F,74
2015,SKILL_MATH,8th,F,72
2017,SKILL_MATH,8th,F,70
2019,SKILL_READ,4th,,66
2019,SKILL_READ,4th,M,63
2019,SKILL_READ,4th,F,70
2022,SKILL_READ,4th,,63
2022,SKILL_READ,4th,M,60
2022,SKILL_READ,4th,F,66
2019,SKILL_READ,8th,,73
2019,SKILL_READ,8th,M,68
2019,SKILL_READ,8th,F,78
2022,SKILL_READ,8th,,70
2022,SKILL_READ,8th,M,66
2022,SKILL_READ,8th,F,74
2019,SKILL_MATH,4th,,81
2019,SKILL_MATH,4th,M,81
2019,SKILL_MATH,4th,F,80
2022,SKILL_MATH,4th,,75
2022,SKILL_MATH,4th,M,77
2022,SKILL_MATH,4th,F,73
2019,SKILL_MATH,8th,,69
2019,SKILL_MATH,8th,M,68
2019,SKILL_MATH,8th,F,70
2022,SKILL_MATH,8th,,62
2022,SKILL_MATH,8th,M,62
2022,SKILL_MATH,8th,F,61
